#
#"Frequency / PHz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	138732.79776894
0.39972327733333	191971.76225811
0.42827494000000	299843.10654426
0.46121916615385	553468.47932188
0.49965409666667	1470430.0315382
0.54507719636364	4280914.8316094
0.59958491600000	1820897.5178912
0.66620546222222	5952171.9783126
0.74948114500000	14581333.305007
#
#"Frequency / PHz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	66668377.366612
0.39972327733333	70362911.402328
0.42827494000000	73339860.925788
0.46121916615385	74779115.704335
0.49965409666667	72754185.695890
0.54507719636364	65285812.240369
0.59958491600000	61108193.657714
0.66620546222222	41689904.962911
0.74948114500000	38417333.210316
