#
#"Frequency / PHz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	299567.71398987
0.39972327733333	355906.15712523
0.42827494000000	427231.41373770
0.46121916615385	552392.88299570
0.49965409666667	1386326.7088737
0.54507719636364	4256322.1776387
0.59958491600000	2453694.2667687
0.66620546222222	6417160.2000991
0.74948114500000	15121403.727686
#
#"Frequency / PHz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	37165223.752370
0.39972327733333	39514542.929403
0.42827494000000	45274875.974809
0.46121916615385	52564332.509118
0.49965409666667	56824763.360275
0.54507719636364	50863357.442950
0.59958491600000	44160179.862350
0.66620546222222	37289670.922759
0.74948114500000	34657979.208396
