#
#"Frequency / PHz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	299176.34585056
0.39972327733333	355192.07129235
0.42827494000000	426662.43769524
0.46121916615385	551641.56124494
0.49965409666667	1385455.7024177
0.54507719636364	4254491.1821012
0.59958491600000	2452621.5378040
0.66620546222222	6414059.9005350
0.74948114500000	15113693.557523
#
#"Frequency / PHz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	37163612.720646
0.39972327733333	39518663.312423
0.42827494000000	45285403.845610
0.46121916615385	52575497.828160
0.49965409666667	56826706.681623
0.54507719636364	50847027.597735
0.59958491600000	44135571.742726
0.66620546222222	37305187.430825
0.74948114500000	34684838.136596
