x [nm],y [nm],z [nm],ExRe [V/m],ExIm [V/m],EyRe [V/m],EyIm [V/m],EzRe [V/m],EzIm [V/m]
-3625,3125,0,1.0191914,-0.006628558,0.012960782,0.006327804,0.004110699,-0.005920455
-3575,3125,0,1.0240864,-0.00490758,0.007172949,0.013058928,-0.000299525,0.00180345
-3525,3125,0,1.0228096,-0.006718326,-0.001421291,0.015247888,-0.00756727,0.005837932
-3475,3125,0,1.0183405,-0.01419741,-0.009768997,0.012072629,-0.015046882,0.005076771
-3425,3125,0,1.0144453,-0.027448505,-0.0149073,0.0045938,-0.019920131,0.000192709
-3375,3125,0,1.0142909,-0.044362035,-0.015059343,-0.004597932,-0.020343119,-0.006560505
-3325,3125,0,1.0193111,-0.06147407,-0.010164541,-0.012417994,-0.016097834,-0.012323021
-3275,3125,0,1.0287925,-0.075127035,-0.001806435,-0.016301537,-0.008594755,-0.014674578
-3225,3125,0,1.0401667,-0.082663,0.007358097,-0.014999123,-0.000303552,-0.01246524
-3175,3125,0,1.0498917,-0.08326184,0.014472029,-0.008912725,0.006151659,-0.006145049
-3125,3125,0,1.0546162,-0.078164279,0.017356927,9.83E-05,0.008872298,0.002484723
-3075,3125,0,1.0522552,-0.070263252,0.015132452,0.009336696,0.007242678,0.010938981
-3025,3125,0,1.0426539,-0.063202888,0.008420181,0.016091866,0.002022708,0.016862415
-2975,3125,0,1.0276768,-0.06027399,-0.00089193,0.01841634,-0.004982768,0.018708982
-2925,3125,0,1.0107143,-0.063427441,-0.010222067,0.015638299,-0.011513412,0.016112957
-2875,3125,0,0.99576139,-0.072682716,-0.017023889,0.0084922,-0.015504434,0.00990139
-2825,3125,0,0.98633528,-0.086091205,-0.019465089,-0.001137129,-0.015626155,0.001800366
-2775,3125,0,0.98453116,-0.10026053,-0.016880682,-0.010758284,-0.011605581,-0.006052846
-2725,3125,0,0.99050015,-0.11126082,-0.009887357,-0.017920118,-0.004269172,-0.011652589
-2675,3125,0,1.0023538,-0.11575709,-0.000251397,-0.020839293,0.0046126,-0.013649074
-2625,3125,0,1.016724,-0.11197657,0.009715792,-0.01887084,0.012904273,-0.011729186
-2575,3125,0,1.0297387,-0.10006985,0.017693514,-0.012480669,0.018602554,-0.00657306
-2525,3125,0,1.0379374,-0.08217071,0.021877024,-0.003131572,0.020359568,0.000315394
-2475,3125,0,1.0391064,-0.06184848,0.021369129,0.007116208,0.017825987,0.007071698
-2425,3125,0,1.0327373,-0.043262187,0.016320132,0.016090846,0.011691391,0.012005994
-2375,3125,0,1.0200545,-0.030239781,0.007824225,0.021970529,0.003424194,0.014046788
-2325,3125,0,1.0036514,-0.025484083,-0.002375368,0.023629956,-0.005179081,0.012948282
-2275,3125,0,0.98687541,-0.030084174,-0.012285537,0.020812314,-0.012466312,0.009222898
-2225,3125,0,0.97311878,-0.043374743,-0.020069998,0.014117653,-0.017264113,0.00386196
-2175,3125,0,0.96516836,-0.063124135,-0.024383232,0.004828178,-0.019005522,-0.0020057
-2125,3125,0,0.96472824,-0.085984692,-0.024575351,-0.005377851,-0.017675219,-0.007387849
-2075,3125,0,0.97216237,-0.10809737,-0.02074535,-0.014760572,-0.013670399,-0.011560021
-2025,3125,0,0.98649549,-0.12575483,-0.013654057,-0.021831755,-0.007671383,-0.014073379
-1975,3125,0,1.005632,-0.13601166,-0.004529062,-0.025589313,-0.000559703,-0.014712238
-1925,3125,0,1.0267587,-0.13714942,0.005185847,-0.02563565,0.006644175,-0.013467217
-1875,3125,0,1.0468385,-0.12891212,0.01408453,-0.022171419,0.012879154,-0.01054338
-1825,3125,0,1.0630995,-0.11248091,0.021009002,-0.015884556,0.017210122,-0.006367862
-1775,3125,0,1.0734286,-0.090196818,0.025188051,-0.007776353,0.019027645,-0.001543932
-1725,3125,0,1.0765955,-0.065101713,0.026295394,0.001030577,0.0182046,0.003266517
-1675,3125,0,1.0723078,-0.040410526,0.024431638,0.009463749,0.015121849,0.007499143
-1625,3125,0,1.0611072,-0.019024037,0.020050012,0.016627923,0.010536486,0.010808567
-1575,3125,0,1.0441842,-0.003169722,0.013844563,0.021884317,0.005339318,0.013091488
-1525,3125,0,1.0231678,0.00578312,0.006625548,0.024882494,0.000303056,0.014403647
-1475,3125,0,0.9999299,0.007349799,-0.000801373,0.025555536,-0.004077633,0.014823034
-1425,3125,0,0.97642148,0.001828649,-0.007733375,0.024085162,-0.007605278,0.014348126
-1375,3125,0,0.95453411,-0.009872556,-0.013634538,0.020843927,-0.010284873,0.012894584
-1325,3125,0,0.93595546,-0.026441332,-0.018163212,0.016322862,-0.012190937,0.010396877
-1275,3125,0,0.92203593,-0.04636516,-0.021165196,0.011055091,-0.013376728,0.006944274
-1225,3125,0,0.91366011,-0.068113327,-0.022643998,0.005548331,-0.013860228,0.002865335
-1175,3125,0,0.91116971,-0.090285726,-0.022722078,0.00023327,-0.013668134,-0.001309525
-1125,3125,0,0.91435164,-0.11171244,-0.021602612,-0.004564022,-0.012886591,-0.004999944
