x [nm],y [nm],z [nm],ExRe [V/m],ExIm [V/m],EyRe [V/m],EyIm [V/m],EzRe [V/m],EzIm [V/m]
-3675,-3675,0,1.0176235,0.021585172,-0.018475911,0.002671551,0.004832393,-0.005188251
-3625,-3675,0,1.0204631,0.029307887,-0.017763099,-0.006871556,0.004723202,-0.00143262
-3575,-3675,0,1.0185583,0.037313882,-0.012518276,-0.014886916,0.003126376,0.0020147
-3525,-3675,0,1.0119386,0.042220019,-0.004170756,-0.019480802,0.000343053,0.004480154
-3475,-3675,0,1.0025682,0.042329565,0.00527973,-0.019605225,-0.003073474,0.005503164
-3425,-3675,0,0.99301851,0.037027672,0.013628121,-0.015249165,-0.006421567,0.004908938
-3375,-3675,0,0.98585415,0.02702049,0.019000411,-0.007479334,-0.008998207,0.002878436
-3325,-3675,0,0.98300517,0.014062434,0.020264568,0.001934837,-0.01025618,-0.000111936
-3275,-3675,0,0.98537946,0.000556378,0.017218869,0.010938739,-0.009914799,-0.00338452
-3225,-3675,0,0.99269181,-0.01097496,0.010582571,0.017643796,-8.02E-03,-0.006200941
-3175,-3675,0,1.003553,-0.018424068,0.001789928,0.020716492,-4.93E-03,-0.00792018
-3125,-3675,0,1.0158001,-0.020526122,-0.007350187,0.019620154,-0.001251567,-0.008135927
-3075,-3675,0,1.0269613,-0.01708689,-0.015042189,0.014673965,0.002326515,-0.006758375
-3025,-3675,0,1.0347725,-0.008984112,-0.019856084,0.006933218,0.005148725,-0.004023244
-2975,-3675,0,1.0376204,0.00204526,-0.020976776,-0.002065548,0.006741141,-0.000427306
-2925,-3675,0,1.0348287,0.013770813,-0.018312665,-0.010630699,0.006890054,0.003388015
-2875,-3675,0,1.0267552,0.023911556,-0.012458125,-0.017241646,0.005661072,0.006773136
-2825,-3675,0,1.0146847,0.030549332,-0.004533741,-0.020812504,0.003356603,0.009192285
-2775,-3675,0,1.0005579,0.032456413,0.004051528,-0.020850068,0.000434469,0.010305813
-2725,-3675,0,0.98661792,0.029253328,0.011857437,-0.017478991,-0.002589901,0.009995134
-2675,-3675,0,0.9750101,0.021472733,0.017651547,-0.011411924,-0.005226319,0.008367786
-2625,-3675,0,0.96741408,0.010413183,0.020649947,-0.003727989,-0.007100562,0.005698486
-2575,-3675,0,0.96486211,-0.002185132,0.020528395,0.004340418,-0.007964071,0.002359741
-2525,-3675,0,0.96759623,-0.01438991,0.017458998,0.011592099,-0.007714607,-0.001219304
-2475,-3675,0,0.97510332,-0.024395073,0.012031008,0.017047036,-0.006392541,-0.004606606
-2425,-3675,0,0.98624682,-0.030780315,0.005120234,0.020066883,-0.004168126,-0.007408725
-2375,-3675,0,0.99947,-0.032684613,-0.002267381,0.020406116,-0.001321095,-0.009306479
-2325,-3675,0,1.0130374,-0.029884622,-0.009151653,0.018197807,0.001790076,-0.010088604
-2275,-3675,0,1.0252681,-0.022777425,-0.014708417,0.01388716,0.004770516,-0.009676376
-2225,-3675,0,1.0347362,-0.012277311,-0.018361105,0.00813281,0.00724139,-0.008136256
-2175,-3675,0,1.040421,0.000339539,-0.01982474,0.001694607,0.008896831,-0.005672723
-2125,-3675,0,1.0417831,0.013625843,-0.019103406,-0.004671081,0.009550892,-0.002597597
-2075,-3675,0,1.0387862,0.026147876,-0.016452119,-0.010299772,0.009165279,0.000717428
-2025,-3675,0,1.0318545,0.036651757,-0.012309599,-0.014680116,0.007847596,0.003898608
-1975,-3675,0,1.0217867,0.044187475,-0.007220548,-0.017488435,0.005820054,0.006622394
-1925,-3675,0,1.0096337,0.048178948,-0.001757222,-0.018596593,0.003369018,0.008651855
-1875,-3675,0,0.99657023,0.04844074,0.003548735,-0.018057294,0.000787,0.009852274
-1825,-3675,0,0.98376197,0.045147829,0.008256113,-0.016073421,-0.001676117,0.010184532
-1775,-3675,0,0.97225398,0.0387659,0.012043555,-0.012955706,-0.003842078,0.009687942
-1725,-3675,0,0.96288788,0.029962843,0.014718218,-0.009075237,-0.005608885,0.00845675
-1675,-3675,0,0.95625114,0.019512232,0.016209401,-0.004818607,-0.006938565,0.006624284
-1625,-3675,0,0.95266271,0.008208018,0.016550073,-0.000546639,-0.007832152,0.004350678
-1575,-3675,0,0.95218408,-0.003204758,0.015852962,0.003435445,-0.008307856,0.001818645
-1525,-3675,0,0.95465493,-0.014077136,0.014286601,0.006896753,-0.008386265,-0.000773715
-1475,-3675,0,0.95973915,-0.023879874,0.012052516,0.009687772,-0.008086227,-0.003223648
-1425,-3675,0,0.96697152,-0.032211162,0.009366222,0.011736067,-0.007429232,-0.005343568
-1375,-3675,0,0.97580981,-0.038794249,0.006440723,0.013035337,-0.006447655,-0.006985279
-1325,-3675,0,0.98567969,-0.043467186,0.003473493,0.013629932,-0.005190278,-0.008061378
-1275,-3675,0,0.99601322,-0.046171233,0.00063499,0.013598248,-0.003723992,-0.008559461
-1225,-3675,0,1.0062878,-0.046940561,-0.001940093,0.013038611,-0.002129011,-0.008540002
-1175,-3675,0,1.0160568,-0.045888908,-0.00415809,0.012058887,-0.000493559,-0.008119529
-1125,-3675,0,1.0249746,-0.043196503,-0.005967104,0.010767113,0.001095213,-0.007441863
-1075,-3675,0,1.0328095,-0.039094478,-0.007354365,0.009268515,0.00255566,-0.006646468
-1025,-3675,0,1.0394466,-0.03384845,-0.008337267,0.007660196,0.00381859,-0.005841177
