Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
54,90,-1.24E+02,-2.00E+02,53.355,-1.24E+02,149.237,4.00E+01
57,90,-1.26E+02,-2.00E+02,19.091,-1.26E+02,206.993,4.00E+01
60,90,-1.18E+02,-2.00E+02,186.674,-1.18E+02,9.293,4.00E+01
63,90,-1.19E+02,-2.00E+02,21.267,-1.19E+02,177.784,4.00E+01
66,90,-1.19E+02,-2.00E+02,186.193,-1.19E+02,340.505,4.00E+01
69,90,-1.20E+02,-2.00E+02,39.696,-1.20E+02,137.825,4.00E+01
72,90,-1.20E+02,-2.00E+02,284.269,-1.20E+02,297.241,4.00E+01
75,90,-1.20E+02,-2.00E+02,71.537,-1.20E+02,103.34,4.00E+01
78,90,-1.20E+02,-2.00E+02,79.927,-1.20E+02,274.604,4.00E+01
81,90,-1.21E+02,-2.00E+02,309.046,-1.21E+02,90.503,4.00E+01
84,90,-1.23E+02,-2.00E+02,88.085,-1.23E+02,267.589,4.00E+01
87,90,-1.26E+02,-2.00E+02,75.058,-1.26E+02,87.64,4.00E+01
90,90,-1.33E+02,-2.00E+02,2.021,-1.33E+02,270.565,4.00E+01
93,90,-1.45E+02,-2.00E+02,281.025,-1.45E+02,214.771,4.00E+01
96,90,-1.31E+02,-2.00E+02,134.675,-1.31E+02,71.705,4.00E+01
99,90,-1.26E+02,-2.00E+02,22.613,-1.26E+02,253.547,4.00E+01
102,90,-1.23E+02,-2.00E+02,224.945,-1.23E+02,73.48,4.00E+01
105,90,-1.23E+02,-2.00E+02,73.373,-1.23E+02,252.162,4.00E+01
108,90,-1.23E+02,-2.00E+02,315.749,-1.23E+02,70.197,4.00E+01
111,90,-1.27E+02,-2.00E+02,146.691,-1.27E+02,251.485,4.00E+01
114,90,-1.33E+02,-2.00E+02,356.478,-1.33E+02,60.846,4.00E+01
117,90,-1.36E+02,-2.00E+02,133.647,-1.36E+02,130.947,4.00E+01
120,90,-1.26E+02,-2.00E+02,6.832,-1.26E+02,260.396,4.00E+01
123,90,-1.29E+02,-2.00E+02,238.241,-1.29E+02,53.728,4.00E+01
126,90,-1.33E+02,-2.00E+02,28.29,-1.33E+02,196.496,4.00E+01
129,90,-1.32E+02,-2.00E+02,273.157,-1.32E+02,286.01,4.00E+01
132,90,-1.28E+02,-2.00E+02,37.118,-1.28E+02,90.69,4.00E+01
135,90,-1.36E+02,-2.00E+02,314.099,-1.36E+02,190.447,4.00E+01
138,90,-1.30E+02,-2.00E+02,162.724,-1.30E+02,259.865,4.00E+01
141,90,-1.27E+02,-2.00E+02,11.348,-1.27E+02,87.498,4.00E+01
144,90,-1.29E+02,-2.00E+02,299.394,-1.29E+02,71.729,4.00E+01
147,90,-1.29E+02,-2.00E+02,151.54,-1.29E+02,260.374,4.00E+01
150,90,-1.37E+02,-2.00E+02,43.72,-1.37E+02,225.935,4.00E+01
153,90,-1.28E+02,-2.00E+02,302.086,-1.28E+02,39.049,4.00E+01
156,90,-1.27E+02,-2.00E+02,246.626,-1.27E+02,10.678,4.00E+01
159,90,-1.38E+02,-2.00E+02,91.193,-1.38E+02,258.348,4.00E+01
162,90,-1.28E+02,-2.00E+02,18.827,-1.28E+02,196.528,4.00E+01
165,90,-1.32E+02,-2.00E+02,341.245,-1.32E+02,195.944,4.00E+01
168,90,-1.31E+02,-2.00E+02,309.013,-1.31E+02,274.399,4.00E+01
171,90,-1.22E+02,-2.00E+02,279.873,-1.22E+02,280.969,4.00E+01
174,90,-1.16E+02,-2.00E+02,257.756,-1.16E+02,275.389,4.00E+01
177,90,-1.13E+02,-2.00E+02,247.483,-1.13E+02,272.336,4.00E+01
180,90,-1.12E+02,-2.00E+02,212.796,-1.12E+02,271.46,4.00E+01
