#Parameters = {r_NP=4000}
#"Wavelength / nm"	"Total RCS [pw] [Real Part]"
#----------------------------------------------
400.00000000000	114212889.26399
440.00000000000	96163954.317622
480.00000000000	112430440.46055
520.00000000000	121038704.34747
560.00000000000	107874238.81802
600.00000000000	92522918.816141
640.00000000000	93769169.262015
680.00000000000	102941786.45890
720.00000000000	116674521.74362
760.00000000000	127918185.13216
800.00000000000	129946155.10665
