855,2.33E-17,2.57E-17,4.87E-17
860,2.32E-17,2.51E-17,4.89E-17
865,2.21E-17,2.45E-17,4.76E-17
870,2.19E-17,2.40E-17,4.57E-17
875,2.11E-17,2.35E-17,4.39E-17
880,2.07E-17,2.29E-17,4.36E-17
885,2.00E-17,2.25E-17,4.37E-17
890,1.92E-17,2.20E-17,4.25E-17
895,1.88E-17,2.17E-17,4.12E-17
900,1.87E-17,2.15E-17,4.08E-17
905,1.84E-17,2.14E-17,3.93E-17
910,1.82E-17,2.12E-17,3.92E-17
915,1.73E-17,2.10E-17,3.92E-17
920,1.69E-17,2.09E-17,3.86E-17
925,1.59E-17,2.07E-17,3.72E-17
930,1.67E-17,2.05E-17,3.75E-17
935,1.57E-17,2.04E-17,3.68E-17
940,1.56E-17,2.02E-17,3.53E-17
945,1.56E-17,2.00E-17,3.62E-17
950,1.50E-17,1.99E-17,3.42E-17
955,1.49E-17,1.97E-17,3.49E-17
960,1.46E-17,1.96E-17,3.40E-17
965,1.38E-17,1.94E-17,3.21E-17
970,1.40E-17,1.93E-17,3.32E-17
975,1.31E-17,1.91E-17,3.22E-17
980,1.29E-17,1.90E-17,3.14E-17
985,1.25E-17,1.88E-17,3.22E-17
990,1.23E-17,1.86E-17,3.05E-17
995,1.19E-17,1.85E-17,3.25E-17
1000,1.19E-17,1.83E-17,3.00E-17
