#
#"Wavelength / nm"	"Eps' (Fit) [Real Part]"
#------------------------------------------
400.00000183208	2.0035710334778
400.24038401921	2.0033249855042
400.48105529805	2.0031025409698
400.72201619042	2.0029032230377
400.96326721940	2.0027267932892
401.20480890933	2.0025722980499
401.44664178580	2.0024397373199
401.68876637569	2.0023286342621
401.93121532621	2.0022394657135
402.17392496744	2.0021715164185
402.41692791042	2.0021252632141
402.66022468712	2.0021004676819
402.90381583082	2.0020976066589
403.14770187607	2.0021166801453
403.39188335873	2.0021579265594
403.63636081596	2.0022218227386
403.71936660680	2.0022487640381
403.88113478620	2.0023088455200
404.12620580922	2.0024189949036
404.37157442610	2.0025527477264
404.61724117922	2.0027108192444
404.86320661230	2.0028932094574
405.10950389940	2.0031008720398
405.35606836853	2.0033338069916
405.60293315677	2.0035924911499
405.85009881313	2.0038776397705
406.09756588799	2.0041894912720
406.34533493304	2.0045285224915
406.59340650134	2.0048949718475
406.84178114729	2.0052890777588
407.09045942666	2.0057110786438
407.33944189657	2.0061614513397
407.47332323769	2.0064148902893
407.58872911549	2.0066399574280
407.83832164328	2.0071468353271
408.08822004116	2.0076823234558
408.33845802300	2.0082459449768
408.58896989094	2.0088376998901
408.83978932099	2.0094571113586
409.09091687992	2.0101039409637
409.34235313587	2.0107777118683
409.59409865838	2.0114777088165
409.84615401840	2.0122032165527
410.09851978829	2.0129532814026
410.35119654181	2.0137271881104
410.60418485414	2.0145235061646
410.85748530189	2.0153412818909
411.11109846306	2.0161790847778
411.26219937735	2.0166864395142
411.36502491712	2.0170352458954
411.61929893105	2.0179085731506
411.87385375664	2.0187971591949
412.12872362215	2.0196995735168
412.38390911280	2.0206134319305
412.63941081524	2.0215373039246
412.89522931758	2.0224690437317
413.15136520940	2.0234067440033
413.40781908174	2.0243482589722
413.66459152708	2.0252916812897
413.92168313942	2.0262346267700
414.17909451421	2.0271751880646
414.43682624839	2.0281114578247
414.69487894037	2.0290412902832
414.95328742409	2.0299627780914
415.08626069745	2.0304327011108
415.21198387563	2.0308740139008
415.47100308929	2.0317730903625
415.73034566951	2.0326583385468
415.99001222219	2.0335280895233
416.25000335478	2.0343811511993
416.51031967625	2.0352153778076
416.77096179709	2.0360300540924
417.03193032930	2.0368239879608
417.29322588643	2.0375955104828
417.55484908358	2.0383443832397
417.81680053738	2.0390694141388
418.07908086599	2.0397698879242
418.34172548456	2.0404453277588
418.60466546733	2.0410952568054
418.86793618889	2.0417191982269
418.94591417322	2.0418989658356
419.13153827366	2.0423171520233
419.39547234762	2.0428891181946
419.65973903836	2.0434346199036
419.92433897503	2.0439538955688
420.18927278837	2.0444471836090
420.45454111071	2.0449149608612
420.72014457600	2.0453569889069
420.98608381976	2.0457739830017
421.25235947914	2.0461664199829
421.51897219290	2.0465347766876
421.78595797212	2.0468792915344
422.05324676223	2.0472009181976
422.32087453281	2.0474998950958
422.58884192911	2.0477771759033
422.84147237111	2.0480189323425
422.85714959804	2.0480334758759
423.12579818814	2.0482690334320
423.39478834961	2.0484850406647
423.66412073428	2.0486817359924
423.93379599567	2.0488603115082
424.20381478894	2.0490210056305
424.47417777095	2.0491647720337
424.74488560020	2.0492923259735
425.01593893690	2.0494041442871
425.28733844293	2.0495011806488
425.55912078823	2.0495841503143
425.83121467141	2.0496532917023
426.10365671983	2.0497095584869
426.37644760219	2.0497534275055
426.64958798887	2.0497858524323
426.77321648770	2.0497968196869
426.92307855200	2.0498070716858
427.19691996542	2.0498175621033
427.47111290470	2.0498182773590
427.74565804714	2.0498094558716
428.02055607180	2.0497918128967
428.29580765946	2.0497658252716
428.57141349268	2.0497317314148
428.84737425576	2.0496902465820
429.12372724685	2.0496416091919
429.40039997686	2.0495862960815
429.67742970033	2.0495247840881
429.95481710868	2.0494575500488
430.23256289507	2.0493848323822
430.51066775447	2.0493071079254
430.74154075063	2.0492389202118
430.78913238368	2.0492243766785
431.06795748124	2.0491373538971
431.34714374756	2.0490462779999
431.62669188483	2.0489511489868
431.90660259708	2.0488524436951
432.18687659014	2.0487504005432
432.46751457171	2.0486454963684
432.74855448454	2.0485377311707
433.02992262197	2.0484271049500
433.31165688210	2.0483143329620
433.59375798002	2.0481991767883
433.87622663267	2.0480821132660
434.15906355885	2.0479633808136
434.44226947924	2.0478427410126
434.72584511642	2.0477206707001
434.74677498136	2.0477116107941
435.00979119484	2.0475974082947
435.29410844084	2.0474727153778
435.57879758268	2.0473470687866
435.86385935051	2.0472207069397
436.14929447639	2.0470931529999
436.43514156462	2.0469651222229
436.72132566018	2.0468366146088
437.00788532163	2.0467073917389
437.29482128876	2.0465779304504
437.58213430329	2.0464479923248
437.86982510889	2.0463178157806
438.15789445121	2.0461876392365
438.44634307782	2.0460574626923
438.73517173831	2.0459270477295
438.78921636176	2.0459027290344
439.02438118421	2.0457968711853
439.31397216905	2.0456666946411
439.60394544835	2.0455367565155
439.89430177961	2.0454070568085
440.18508044622	2.0452775955200
440.47620521293	2.0451486110687
440.76771531629	2.0450198650360
441.05961152185	2.0448915958405
441.35189459720	2.0447638034821
441.64456531197	2.0446362495422
441.93762443784	2.0445094108582
442.23107274852	2.0443830490112
442.52491101978	2.0442574024200
442.81914002947	2.0441322326660
442.86928210562	2.0441110134125
443.11376055749	2.0440075397491
443.40877338584	2.0438838005066
443.70417929857	2.0437605381012
444.00001827638	2.0436377525330
444.29621277079	2.0435159206390
444.59280271448	2.0433948040009
444.88978889992	2.0432744026184
445.18717212171	2.0431547164917
445.48495317657	2.0430357456207
445.78313286336	2.0429174900055
