#
#"Frequency / PHz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	145528.09883890
0.39972327733333	203906.31920935
0.42827494000000	308216.93622345
0.46121916615385	560803.97646524
0.49965409666667	1473596.7734599
0.54507719636364	4271727.0006544
0.59958491600000	1814969.1337334
0.66620546222222	5935599.7805645
0.74948114500000	14569938.784619
#
#"Frequency / PHz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	66424102.454734
0.39972327733333	70106680.248010
0.42827494000000	73093472.602513
0.46121916615385	74573230.029668
0.49965409666667	72653154.130262
0.54507719636364	65317084.495230
0.59958491600000	61415937.245430
0.66620546222222	42103027.209032
0.74948114500000	38746805.881731
