#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,145528.0988
0.399723277,203906.3192
0.42827494,308216.9362
0.461219166,560803.9765
0.499654097,1473596.773
0.545077196,4271727.001
0.599584916,1814969.134
0.666205462,5935599.781
0.749481145,14569938.78
#,
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,66424102.45
0.399723277,70106680.25
0.42827494,73093472.6
0.461219166,74573230.03
0.499654097,72653154.13
0.545077196,65317084.5
0.599584916,61415937.25
0.666205462,42103027.21
0.749481145,38746805.88
