#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,138770.7549
0.399723277,191915.7361
0.42827494,299963.6835
0.461219166,553597.9895
0.499654097,1470759.274
0.545077196,4282022.371
0.599584916,1821536.049
0.666205462,5954407.282
0.749481145,14588457.37
#,
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,66646919.2
0.399723277,70341497.91
0.42827494,73320250.73
0.461219166,74765528.15
0.499654097,72752764.38
0.545077196,65298264.45
0.599584916,61152652.5
0.666205462,41742392.82
0.749481145,38455229.76
