#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,139769.0789
0.399723277,196293.6143
0.42827494,306064.6878
0.461219166,556313.4992
0.499654097,1462181.302
0.545077196,4284468.654
0.599584916,1827754.425
0.666205462,5938571.404
0.749481145,14566829.95
#,
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,67104179.23
0.399723277,70809118.4
0.42827494,73754138.04
0.461219166,75098679.07
0.499654097,72874066.51
0.545077196,65126808.03
0.599584916,60366245.84
0.666205462,40705301.87
0.749481145,37367885.39
