#
#"Frequency / PHz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	139769.07893426
0.39972327733333	196293.61432606
0.42827494000000	306064.68775812
0.46121916615385	556313.49916460
0.49965409666667	1462181.3020569
0.54507719636364	4284468.6537095
0.59958491600000	1827754.4250000
0.66620546222222	5938571.4038828
0.74948114500000	14566829.954622
#
#"Frequency / PHz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	67104179.233736
0.39972327733333	70809118.399733
0.42827494000000	73754138.041784
0.46121916615385	75098679.072191
0.49965409666667	72874066.506503
0.54507719636364	65126808.031320
0.59958491600000	60366245.839158
0.66620546222222	40705301.866892
0.74948114500000	37367885.387104
