x [nm],y [nm],z [nm],ExRe [V/m],ExIm [V/m],EyRe [V/m],EyIm [V/m],EzRe [V/m],EzIm [V/m]
-2975,2975,0,1.011729,0.001703354,-0.005308783,0.008289401,-0.001269594,0.012503779
-2925,2975,0,1.0027024,-0.0017266,-0.008209807,0.005495579,-0.005709183,0.012653343
-2875,2975,0,0.99485141,-0.008026113,-0.00975784,0.00185395,-0.009703503,0.010734566
-2825,2975,0,0.98932952,-0.016398223,-0.009773502,-0.002031469,-0.012459968,0.007065513
-2775,2975,0,0.98689806,-0.025693865,-0.008329021,-0.005571716,-0.013396855,0.002260679
-2725,2975,0,0.98785377,-0.034594491,-0.005703614,-0.008276723,-0.012233085,-0.002879257
-2675,2975,0,0.99197346,-0.041822486,-0.002332445,-0.009820429,-0.009059077,-0.007492623
-2625,2975,0,0.99858046,-0.046338439,0.001301792,-0.010076907,-0.004303168,-0.010850182
-2575,2975,0,1.0067035,-0.047443606,0.004734181,-0.009082607,0.001364559,-0.012428964
-2525,2975,0,1.0151854,-0.044882022,0.007570191,-0.007021811,0.007123481,-0.012003385
-2475,2975,0,1.0228479,-0.038847908,0.009526474,-0.004179358,0.012144012,-0.009669847
-2425,2975,0,1.028641,-0.029948711,0.010444622,-0.000892873,0.015719203,-0.005813383
-2375,2975,0,1.0317596,-0.019117236,0.010287041,0.002490035,0.017368281,-0.001029248
-2325,2975,0,1.031724,-0.007495042,0.00911974,0.005645868,0.016897507,0.003986241
-2275,2975,0,1.0284164,0.003696574,0.007088685,0.008299485,0.014409208,0.008552965
-2225,2975,0,1.0220741,0.013286017,0.004396209,0.010238785,0.010262796,0.012107182
-2175,2975,0,1.013245,0.020265719,0.001278312,0.011322621,0.005000973,0.014270912
-2125,2975,0,1.0027137,0.023882126,-0.002013656,0.011482787,-0.000743945,0.014880557
-2075,2975,0,0.99141604,0.023696944,-0.005228903,0.01072256,-0.006342342,0.013975831
-2025,2975,0,0.98033798,0.019614017,-0.008132128,0.009111406,-0.011243529,0.011758067
-1975,2975,0,0.97043431,0.011873657,-0.01051649,0.006776865,-0.015027154,0.008533362
-1925,2975,0,0.9625479,0.001019077,-0.012216962,0.003892055,-0.017426739,0.004655119
-1875,2975,0,0.95735264,-0.012163401,-0.01312077,0.000661415,-0.018331971,0.000475768
-1825,2975,0,0.95531785,-0.026718849,-0.013174848,-0.002696134,-0.017771605,-0.003685369
-1775,2975,0,0.95669031,-0.041609325,-0.012388194,-0.005963932,-0.015890103,-0.007558289
-1725,2975,0,0.96148968,-0.055801056,-0.010828202,-0.008942744,-0.012921367,-0.01092647
-1675,2975,0,0.96952993,-0.068343312,-0.008611967,-0.011463393,-0.009160253,-0.013625765
-1625,2975,0,0.98043728,-0.078435674,-0.005892635,-0.013395745,-0.004936031,-0.015541805
-1575,2975,0,0.9936828,-0.085475922,-0.002844682,-0.014653169,-0.000584154,-0.016610812
-1525,2975,0,1.0086199,-0.089083388,0.000352184,-0.015194833,0.003582162,-0.016818738
-1475,2975,0,1.0245261,-0.089112252,0.003525855,-0.015024448,0.00730028,-0.01620188
-1425,2975,0,1.0406417,-0.085629113,0.006522595,-0.014186243,0.01038101,-0.014844332
-1375,2975,0,1.0562177,-0.078888357,0.0092135,-0.012759831,0.012722777,-0.012869433
-1325,2975,0,1.070559,-0.0692866,0.011499224,-0.01085253,0.014313709,-0.010427587
-1275,2975,0,1.0830598,-0.057318561,0.01331086,-0.008590363,0.015219735,-0.007682571
-1225,2975,0,1.0932426,-0.043524776,0.014609952,-0.006107955,0.015560419,-0.0047968
-1175,2975,0,1.1007781,-0.028450772,0.015387231,-0.00353847,0.015478427,-0.001920229
-1125,2975,0,1.1054966,-0.012610122,0.015660172,-0.00100409,0.015109617,0.00081717
-1075,2975,0,1.1073859,0.003537016,0.015469646,0.001391076,0.014558701,0.003308652
-1025,2975,0,1.1065755,0.01959704,0.014875874,0.003566037,0.01388713,0.005474011
-975,2975,0,1.1033082,0.035241291,0.013952551,0.005464419,0.01311344,0.007258725
-925,2975,0,1.0979096,0.050199285,0.012781063,0.007053068,0.012226979,0.008636596
-875,2975,0,1.0907519,0.064245686,0.011444117,0.008319272,0.011205084,0.009608766
-825,2975,0,1.0822219,0.077189028,0.010019913,0.009266678,0.010033671,0.010204284
-775,2975,0,1.0726929,0.088869169,0.008577299,0.009910152,0.008722159,0.010473829
-725,2975,0,1.0625107,0.099156491,0.007172918,0.010272494,0.007310175,0.010483583
-675,2975,0,1.0519764,0.10796392,0.005849837,0.010380097,0.00586484,0.010303615
-625,2975,0,1.041351,0.11525984,0.004638804,0.010261822,0.00446974,0.009996162
-575,2975,0,1.0308509,0.12107971,0.003559199,0.009946171,0.003209566,0.009606299
-525,2975,0,1.0206589,0.12553173,0.002621679,0.009461117,0.002153941,0.009156888
-475,2975,0,1.0109291,0.12879133,0.001830683,0.008833723,0.001345496,0.008649876
-425,2975,0,1.0017915,0.13108614,0.001185233,0.008089541,0.000792183,0.008073005
-375,2975,0,0.99336076,0.13266316,0.000680354,0.007253373,0.000469058,0.007408388
-325,2975,0,0.98573911,0.13375965,0.000307088,0.006349049,0.000325363,0.006644302
-275,2975,0,0.97901714,0.13457009,5.28E-05,0.005398436,0.000295175,0.005779582
-225,2975,0,0.97327638,0.1352272,-9.82E-05,0.004421161,0.000312694,0.004826004
-175,2975,0,0.96858937,0.13579379,-0.000164177,0.003433288,0.000322215,0.003804341
-125,2975,0,0.96501702,0.13627401,-0.000163929,0.002445521,0.000289093,0.002738647
-75,2975,0,0.9626072,0.13663277,-0.000116972,0.001463402,0.000202316,0.001649421
-25,2975,0,0.96139365,0.13682683,-4.21E-05,0.00048698,7.28E-05,0.00055049
25,2975,0,0.96139389,0.13682663,4.21E-05,-0.000486968,-7.28E-05,-0.000550609
75,2975,0,0.96260709,0.13663301,0.000116933,-0.001463385,-0.000202313,-0.001649431
125,2975,0,0.96501696,0.13627355,0.000163985,-0.002445516,-0.000289132,-0.002738738
175,2975,0,0.9685896,0.13579372,0.00016415,-0.003433285,-0.000322229,-0.003804314
225,2975,0,0.97327638,0.13522735,9.83E-05,-0.004421162,-0.000312651,-0.004825921
275,2975,0,0.9790169,0.13457012,-5.28E-05,-0.00539842,-0.000295201,-0.005779594
325,2975,0,0.98573899,0.13375944,-0.000307076,-0.006349018,-0.000325396,-0.006644254
375,2975,0,0.993361,0.13266301,-0.000680341,-0.007253389,-0.000469025,-0.007408369
425,2975,0,1.0017917,0.13108584,-0.001185283,-0.008089587,-0.000792118,-0.008072914
475,2975,0,1.0109292,0.12879151,-0.001830658,-0.008833702,-0.001345452,-0.008649858
525,2975,0,1.020659,0.12553135,-0.002621704,-0.00946114,-0.002154087,-0.009156828
575,2975,0,1.0308509,0.12107991,-0.003559154,-0.009946201,-0.003209517,-0.009606207
625,2975,0,1.0413508,0.1152599,-0.00463882,-0.010261815,-0.004469806,-0.00999617
675,2975,0,1.0519764,0.10796422,-0.005849847,-0.010380145,-0.005864797,-0.010303638
725,2975,0,1.0625106,0.09915632,-0.007172893,-0.01027245,-0.007310218,-0.010483498
775,2975,0,1.0726929,0.088869162,-0.008577302,-0.009910235,-0.008722227,-0.010473777
