Theta [deg.],Phi   [deg.],Abs(RCS )[dB(nm^2)],Abs(???  )[dB(nm^2)],Phase(???  )[deg.],Abs(???  )[dB(nm^2)],Phase(???  )[deg.],Ax.Ratio[dB    ]
59,0,61.34,61.34,0,61.34,0,-200.00
59.5,0,61.23,61.23,0,61.23,0,-200.00
60,0,60.24,60.24,0,60.24,0,-200.00
60.5,0,58.65,58.65,0,58.65,0,-200.00
61,0,57.50,57.50,0,57.50,0,-200.00
61.5,0,57.98,57.98,0,57.98,0,-200.00
62,0,59.29,59.29,0,59.29,0,-200.00
62.5,0,60.24,60.24,0,60.24,0,-200.00
63,0,60.42,60.42,0,60.42,0,-200.00
63.5,0,59.83,59.83,0,59.83,0,-200.00
64,0,58.64,58.64,0,58.64,0,-200.00
64.5,0,57.42,57.42,0,57.42,0,-200.00
65,0,57.20,57.20,0,57.20,0,-200.00
65.5,0,58.10,58.10,0,58.10,0,-200.00
66,0,59.13,59.13,0,59.13,0,-200.00
66.5,0,59.66,59.66,0,59.66,0,-200.00
67,0,59.52,59.52,0,59.52,0,-200.00
67.5,0,58.77,58.77,0,58.77,0,-200.00
68,0,57.65,57.65,0,57.65,0,-200.00
68.5,0,56.80,56.80,0,56.80,0,-200.00
69,0,56.92,56.92,0,56.92,0,-200.00
69.5,0,57.74,57.74,0,57.74,0,-200.00
70,0,58.51,58.51,0,58.51,0,-200.00
70.5,0,58.80,58.80,0,58.80,0,-200.00
71,0,58.52,58.52,0,58.52,0,-200.00
71.5,0,57.76,57.76,0,57.76,0,-200.00
72,0,56.84,56.84,0,56.84,0,-200.00
72.5,0,56.34,56.34,0,56.34,0,-200.00
73,0,56.59,56.59,0,56.59,0,-200.00
73.5,0,57.24,57.24,0,57.24,0,-200.00
74,0,57.74,57.74,0,57.74,0,-200.00
74.5,0,57.83,57.83,0,57.83,0,-200.00
75,0,57.48,57.48,0,57.48,0,-200.00
75.5,0,56.83,56.83,0,56.83,0,-200.00
76,0,56.19,56.19,0,56.19,0,-200.00
76.5,0,55.92,55.92,0,55.92,0,-200.00
77,0,56.12,56.12,0,56.12,0,-200.00
77.5,0,56.49,56.49,0,56.49,0,-200.00
78,0,56.74,56.74,0,56.74,0,-200.00
78.5,0,56.71,56.71,0,56.71,0,-200.00
79,0,56.40,56.40,0,56.40,0,-200.00
79.5,0,55.94,55.94,0,55.94,0,-200.00
80,0,55.52,55.52,0,55.52,0,-200.00
80.5,0,55.30,55.30,0,55.30,0,-200.00
81,0,55.29,55.29,0,55.29,0,-200.00
81.5,0,55.38,55.38,0,55.38,0,-200.00
82,0,55.43,55.43,0,55.43,0,-200.00
82.5,0,55.36,55.36,0,55.36,0,-200.00
83,0,55.15,55.15,0,55.15,0,-200.00
83.5,0,54.87,54.87,0,54.87,0,-200.00
84,0,54.57,54.57,0,54.57,0,-200.00
84.5,0,54.31,54.31,0,54.31,0,-200.00
85,0,54.09,54.09,0,54.09,0,-200.00
85.5,0,53.93,53.93,0,53.93,0,-200.00
86,0,53.78,53.78,0,53.78,0,-200.00
86.5,0,53.64,53.64,0,53.64,0,-200.00
87,0,53.50,53.50,0,53.50,0,-200.00
87.5,0,53.35,53.35,0,53.35,0,-200.00
88,0,53.17,53.17,0,53.17,0,-200.00
88.5,0,52.92,52.92,0,52.92,0,-200.00
89,0,52.59,52.59,0,52.59,0,-200.00
89.5,0,52.19,52.19,0,52.19,0,-200.00
90,0,51.79,51.79,0,51.79,0,-200.00
90.5,0,51.47,51.47,0,51.47,0,-200.00
91,0,51.30,51.30,0,51.30,0,-200.00
91.5,0,51.29,51.29,0,51.29,0,-200.00
92,0,51.34,51.34,0,51.34,0,-200.00
92.5,0,51.29,51.29,0,51.29,0,-200.00
93,0,51.02,51.02,0,51.02,0,-200.00
93.5,0,50.49,50.49,0,50.49,0,-200.00
94,0,49.74,49.74,0,49.74,0,-200.00
94.5,0,49.02,49.02,0,49.02,0,-200.00
95,0,48.71,48.71,0,48.71,0,-200.00
95.5,0,48.99,48.99,0,48.99,0,-200.00
96,0,49.57,49.57,0,49.57,0,-200.00
96.5,0,50.00,50.00,0,50.00,0,-200.00
97,0,50.02,50.02,0,50.02,0,-200.00
97.5,0,49.47,49.47,0,49.47,0,-200.00
98,0,48.38,48.38,0,48.38,0,-200.00
98.5,0,47.07,47.07,0,47.07,0,-200.00
99,0,46.45,46.45,0,46.45,0,-200.00
99.5,0,47.20,47.20,0,47.20,0,-200.00
100,0,48.53,48.53,0,48.53,0,-200.00
100.5,0,49.55,49.55,0,49.55,0,-200.00
101,0,49.90,49.90,0,49.90,0,-200.00
101.5,0,49.49,49.49,0,49.49,0,-200.00
102,0,48.30,48.30,0,48.30,0,-200.00
102.5,0,46.50,46.50,0,46.50,0,-200.00
103,0,45.06,45.06,0,45.06,0,-200.00
103.5,0,45.58,45.58,0,45.58,0,-200.00
104,0,47.36,47.36,0,47.36,0,-200.00
104.5,0,48.86,48.86,0,48.86,0,-200.00
105,0,49.62,49.62,0,49.62,0,-200.00
105.5,0,49.56,49.56,0,49.56,0,-200.00
106,0,48.65,48.65,0,48.65,0,-200.00
106.5,0,46.82,46.82,0,46.82,0,-200.00
107,0,44.18,44.18,0,44.18,0,-200.00
107.5,0,42.29,42.29,0,42.29,0,-200.00
108,0,43.68,43.68,0,43.68,0,-200.00
108.5,0,46.08,46.08,0,46.08,0,-200.00
109,0,47.68,47.68,0,47.68,0,-200.00
109.5,0,48.29,48.29,0,48.29,0,-200.00
110,0,47.91,47.91,0,47.91,0,-200.00
110.5,0,46.42,46.42,0,46.42,0,-200.00
111,0,43.44,43.44,0,43.44,0,-200.00
111.5,0,38.36,38.36,0,38.36,0,-200.00
112,0,36.91,36.91,0,36.91,0,-200.00
112.5,0,42.13,42.13,0,42.13,0,-200.00
113,0,45.40,45.40,0,45.40,0,-200.00
113.5,0,47.04,47.04,0,47.04,0,-200.00
114,0,47.51,47.51,0,47.51,0,-200.00
114.5,0,46.97,46.97,0,46.97,0,-200.00
115,0,45.35,45.35,0,45.35,0,-200.00
115.5,0,42.40,42.40,0,42.40,0,-200.00
116,0,38.80,38.80,0,38.80,0,-200.00
116.5,0,40.30,40.30,0,40.30,0,-200.00
117,0,44.40,44.40,0,44.40,0,-200.00
117.5,0,47.23,47.23,0,47.23,0,-200.00
118,0,48.89,48.89,0,48.89,0,-200.00
118.5,0,49.58,49.58,0,49.58,0,-200.00
119,0,49.40,49.40,0,49.40,0,-200.00
119.5,0,48.26,48.26,0,48.26,0,-200.00
120,0,45.95,45.95,0,45.95,0,-200.00
120.5,0,42.04,42.04,0,42.04,0,-200.00
121,0,38.23,38.23,0,38.23,0,-200.00
121.5,0,41.49,41.49,0,41.49,0,-200.00
122,0,45.24,45.24,0,45.24,0,-200.00
122.5,0,47.40,47.40,0,47.40,0,-200.00
123,0,48.40,48.40,0,48.40,0,-200.00
123.5,0,48.49,48.49,0,48.49,0,-200.00
124,0,47.76,47.76,0,47.76,0,-200.00
124.5,0,46.10,46.10,0,46.10,0,-200.00
125,0,43.11,43.11,0,43.11,0,-200.00
125.5,0,37.43,37.43,0,37.43,0,-200.00
126,0,16.41,16.41,0,16.41,0,-200.00
126.5,0,36.45,36.45,0,36.45,0,-200.00
127,0,41.80,41.80,0,41.80,0,-200.00
127.5,0,44.19,44.19,0,44.19,0,-200.00
128,0,45.03,45.03,0,45.03,0,-200.00
128.5,0,44.66,44.66,0,44.66,0,-200.00
129,0,42.98,42.98,0,42.98,0,-200.00
129.5,0,39.27,39.27,0,39.27,0,-200.00
130,0,30.04,30.04,0,30.04,0,-200.00
130.5,0,33.18,33.18,0,33.18,0,-200.00
131,0,41.25,41.25,0,41.25,0,-200.00
131.5,0,45.19,45.19,0,45.19,0,-200.00
132,0,47.50,47.50,0,47.50,0,-200.00
