Theta [deg.],Phi   [deg.],Abs(RCS )[dB(nm^2)],Abs(Theta)[dB(nm^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(nm^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
------------,--------------,----------------------,----------------------,--------------------,----------------------,--------------------,------------------------
0,0,1.09E+02,1.09E+02,93.258,-9.38E+01,67.064,4.00E+01
3,0,1.04E+02,1.04E+02,81.804,-3.50E+01,275.473,4.00E+01
6,0,9.41E+01,9.41E+01,328.57,-3.14E+01,77.416,4.00E+01
9,0,9.08E+01,9.08E+01,262.4,-5.29E+01,98.3,4.00E+01
12,0,8.82E+01,8.82E+01,135.132,-3.04E+01,246.718,4.00E+01
15,0,8.02E+01,8.02E+01,30.056,-3.34E+01,46.201,4.00E+01
18,0,8.11E+01,8.11E+01,293.443,-3.79E+01,52.725,4.00E+01
21,0,7.81E+01,7.81E+01,151.955,-3.08E+01,197.178,4.00E+01
24,0,7.10E+01,7.10E+01,57.967,-3.98E+01,333.138,4.00E+01
27,0,7.41E+01,7.41E+01,302.061,-3.60E+01,342.137,4.00E+01
30,0,7.05E+01,7.05E+01,152.621,-3.80E+01,117.028,4.00E+01
33,0,6.50E+01,6.50E+01,66.104,-5.61E+01,124.479,4.00E+01
36,0,6.96E+01,6.96E+01,298.442,-5.38E+01,167.086,4.00E+01
39,0,6.58E+01,6.58E+01,156.575,-5.63E+01,105.843,4.00E+01
42,0,6.33E+01,6.33E+01,78.705,-4.86E+01,228.128,4.00E+01
45,0,6.54E+01,6.54E+01,296.618,-6.07E+01,24.181,4.00E+01
48,0,6.04E+01,6.04E+01,162.845,-4.89E+01,138.65,4.00E+01
51,0,6.17E+01,6.17E+01,78.392,-5.15E+01,163.985,4.00E+01
54,0,6.20E+01,6.20E+01,292.586,-5.49E+01,252.023,4.00E+01
57,0,5.70E+01,5.70E+01,187.424,-5.00E+01,41.631,4.00E+01
60,0,6.04E+01,6.04E+01,73.753,-5.82E+01,84.838,4.00E+01
63,0,5.79E+01,5.79E+01,300.229,-5.91E+01,172.277,4.00E+01
66,0,5.72E+01,5.72E+01,204.1,-5.25E+01,322.618,4.00E+01
69,0,5.81E+01,5.81E+01,75.687,-6.07E+01,291.927,4.00E+01
72,0,5.51E+01,5.51E+01,324.54,-5.66E+01,169.801,4.00E+01
75,0,5.64E+01,5.64E+01,213.314,-5.90E+01,119.963,4.00E+01
78,0,5.45E+01,5.45E+01,93.196,-5.60E+01,342.142,4.00E+01
81,0,5.41E+01,5.41E+01,346.567,-5.75E+01,246.012,4.00E+01
84,0,5.30E+01,5.30E+01,230.196,-5.63E+01,121.975,4.00E+01
87,0,5.19E+01,5.19E+01,117.851,-5.68E+01,355.632,4.00E+01
90,0,5.01E+01,5.01E+01,6.362,-5.78E+01,234.504,4.00E+01
93,0,4.96E+01,4.96E+01,248.117,-5.39E+01,109.389,4.00E+01
96,0,4.60E+01,4.60E+01,132.291,-5.55E+01,352.043,4.00E+01
99,0,4.78E+01,4.78E+01,13.8,-5.40E+01,223.72,4.00E+01
102,0,4.32E+01,4.32E+01,241.998,-5.36E+01,94.775,4.00E+01
105,0,4.76E+01,4.76E+01,144.223,-5.14E+01,329.259,4.00E+01
108,0,4.25E+01,4.25E+01,2,-5.22E+01,202.355,4.00E+01
111,0,4.70E+01,4.70E+01,287.602,-5.12E+01,86.506,4.00E+01
114,0,3.70E+01,3.70E+01,122.277,-5.33E+01,319.147,4.00E+01
117,0,4.41E+01,4.41E+01,65.822,-6.00E+01,235.074,4.00E+01
120,0,3.90E+01,3.90E+01,174.647,-7.05E+01,202.845,4.00E+01
123,0,4.28E+01,4.28E+01,156.274,-6.03E+01,121.439,4.00E+01
126,0,4.31E+01,4.31E+01,330.606,-5.47E+01,355.286,4.00E+01
129,0,4.92E+01,4.92E+01,297.012,-5.50E+01,250.928,4.00E+01
132,0,3.53E+01,3.53E+01,255.308,-5.47E+01,176.944,4.00E+01
135,0,4.37E+01,4.37E+01,72.905,-5.39E+01,146.103,4.00E+01
138,0,4.29E+01,4.29E+01,88.579,-5.20E+01,69.934,4.00E+01
141,0,4.74E+01,4.74E+01,122.725,-5.74E+01,12.571,4.00E+01
144,0,4.39E+01,4.39E+01,112.968,-5.51E+01,33.671,4.00E+01
147,0,4.00E+01,4.00E+01,277.122,-5.22E+01,358.892,4.00E+01
150,0,4.44E+01,4.44E+01,270.432,-5.73E+01,322.886,4.00E+01
153,0,4.49E+01,4.49E+01,274.302,-5.93E+01,24.09,4.00E+01
