Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
------------,--------------,---------------------,---------------------,--------------------,---------------------,--------------------,------------------------
0,0,-6.47E+01,-6.47E+01,330.598,-2.00E+02,303.647,4.00E+01
3,0,-7.78E+01,-7.78E+01,311.056,-2.00E+02,139.038,4.00E+01
6,0,-8.41E+01,-8.41E+01,92.774,-2.00E+02,144.558,4.00E+01
9,0,-8.85E+01,-8.85E+01,338.267,-2.00E+02,240.556,4.00E+01
12,0,-8.93E+01,-8.93E+01,150.975,-2.00E+02,212.51,4.00E+01
15,0,-9.35E+01,-9.35E+01,355.823,-2.00E+02,172.259,4.00E+01
18,0,-9.48E+01,-9.48E+01,183.932,-2.00E+02,211.057,4.00E+01
21,0,-9.77E+01,-9.77E+01,18.34,-2.00E+02,189.869,4.00E+01
24,0,-9.97E+01,-9.97E+01,209.403,-2.00E+02,224.154,4.00E+01
27,0,-1.03E+02,-1.03E+02,44.435,-2.00E+02,204.501,4.00E+01
30,0,-1.06E+02,-1.06E+02,242.763,-2.00E+02,234.589,4.00E+01
33,0,-1.09E+02,-1.09E+02,94.525,-2.00E+02,241.553,4.00E+01
36,0,-1.10E+02,-1.10E+02,314.49,-2.00E+02,251.272,4.00E+01
39,0,-1.10E+02,-1.10E+02,169.873,-1.98E+02,272.677,4.00E+01
42,0,-1.10E+02,-1.10E+02,15.249,-1.98E+02,291.969,4.00E+01
45,0,-1.12E+02,-1.12E+02,226.557,-1.97E+02,307.02,4.00E+01
48,0,-1.15E+02,-1.15E+02,93.309,-1.96E+02,332.071,4.00E+01
51,0,-1.15E+02,-1.15E+02,330.719,-1.96E+02,0.067,4.00E+01
54,0,-1.15E+02,-1.15E+02,199.917,-1.96E+02,27.635,4.00E+01
57,0,-1.18E+02,-1.18E+02,70.498,-1.98E+02,54.005,4.00E+01
60,0,-1.18E+02,-1.18E+02,316.259,-2.00E+02,81.916,4.00E+01
63,0,-1.18E+02,-1.18E+02,211.099,-2.00E+02,96.404,4.00E+01
66,0,-1.19E+02,-1.19E+02,100.421,-2.00E+02,12.462,4.00E+01
69,0,-1.22E+02,-1.22E+02,354.774,-2.00E+02,353.377,4.00E+01
72,0,-1.18E+02,-1.18E+02,260.991,-2.00E+02,6.014,4.00E+01
75,0,-1.22E+02,-1.22E+02,181.491,-2.00E+02,10.719,4.00E+01
78,0,-1.19E+02,-1.19E+02,90.576,-2.00E+02,2.165,4.00E+01
81,0,-1.22E+02,-1.22E+02,44.6,-2.00E+02,348.784,4.00E+01
84,0,-1.25E+02,-1.25E+02,298.331,-2.00E+02,349.291,4.00E+01
87,0,-1.23E+02,-1.23E+02,253.242,-2.00E+02,355.728,4.00E+01
90,0,-1.32E+02,-1.32E+02,211.224,-2.00E+02,357.174,4.00E+01
93,0,-1.31E+02,-1.31E+02,93.382,-2.00E+02,331.9,4.00E+01
96,0,-1.32E+02,-1.32E+02,115.965,-2.00E+02,235.005,4.00E+01
99,0,-1.25E+02,-1.25E+02,177.879,-2.00E+02,213.406,4.00E+01
102,0,-1.22E+02,-1.22E+02,187.666,-2.00E+02,198.336,4.00E+01
105,0,-1.22E+02,-1.22E+02,207.185,-2.00E+02,178.109,4.00E+01
108,0,-1.20E+02,-1.20E+02,236.762,-2.00E+02,167.684,4.00E+01
111,0,-1.17E+02,-1.17E+02,229.067,-2.00E+02,176.543,4.00E+01
114,0,-1.17E+02,-1.17E+02,202.145,-2.00E+02,187.834,4.00E+01
117,0,-1.22E+02,-1.22E+02,168.952,-2.00E+02,189.608,4.00E+01
120,0,-1.35E+02,-1.35E+02,188.183,-2.00E+02,185.699,4.00E+01
123,0,-1.28E+02,-1.28E+02,229.465,-2.00E+02,197.826,4.00E+01
126,0,-1.44E+02,-1.44E+02,285.393,-2.00E+02,203.743,4.00E+01
129,0,-1.24E+02,-1.24E+02,333.866,-2.00E+02,185.247,4.00E+01
132,0,-1.27E+02,-1.27E+02,283.917,-2.00E+02,106.897,4.00E+01
135,0,-1.25E+02,-1.25E+02,175.225,-2.00E+02,56.788,4.00E+01
138,0,-1.23E+02,-1.23E+02,171.117,-2.00E+02,331.526,4.00E+01
141,0,-1.37E+02,-1.37E+02,62.664,-2.00E+02,242.447,4.00E+01
144,0,-1.17E+02,-1.17E+02,2.403,-2.00E+02,163.605,4.00E+01
147,0,-1.24E+02,-1.24E+02,6.669,-2.00E+02,73.888,4.00E+01
150,0,-1.17E+02,-1.17E+02,156.225,-2.00E+02,353.554,4.00E+01
153,0,-1.20E+02,-1.20E+02,162.077,-2.00E+02,236.689,4.00E+01
156,0,-1.17E+02,-1.17E+02,357.503,-2.00E+02,243.763,4.00E+01
159,0,-1.22E+02,-1.22E+02,345.797,-2.00E+02,321.369,4.00E+01
162,0,-1.14E+02,-1.14E+02,169.665,-2.00E+02,169.141,4.00E+01
165,0,-1.24E+02,-1.24E+02,162.094,-2.00E+02,158.231,4.00E+01
168,0,-1.12E+02,-1.12E+02,344.222,-2.00E+02,349.216,4.00E+01
171,0,-1.40E+02,-1.40E+02,134.014,-2.00E+02,145.248,4.00E+01
174,0,-1.08E+02,-1.08E+02,163.815,-2.00E+02,109.812,4.00E+01
