400,14454522.98,14588656.36,14725040.1,14737923.19
404,16789787.53,16946366.52,17092296.22,17166579.8
408,18919296.74,19023337.56,19097506.38,19102236.01
412,20084384.61,20083012.01,20140007.45,20118440.16
416,20345661.96,20200496.39,20169309.2,20130838.41
420,19673591.41,19375752.17,19255534.61,19139475.43
424,18064966.38,17744639.34,17615615.33,17513422.58
428,15941778.13,15454571.06,15248995.13,15113346.06
432,13748779.95,13406675.93,13236289.48,13106484.33
436,11478899.05,11083686.82,10939749.86,10856129.08
440,9945257.557,9657967.803,9493862.266,9372844.008
444,8145960.31,7909815.351,7844560.4,7809572.646
448,7319995.622,7083774.82,6940802.903,6839446.977
452,5971180.323,5846262.275,5827803.597,5819100.297
456,5599401.556,5411323.86,5293106.189,5211200.21
460,4563997.647,4486879.084,4487376.558,4489464.062
464,4460865.843,4335468.713,4246627.615,4184302.101
468,3646275.667,3562092.439,3556685.951,3555804.668
472,3661886.41,3614473.514,3566238.833,3529330.03
476,3075010.306,2956265.109,2925212.845,2909153.899
480,3044889.167,3068750.355,3066289.287,3057724.939
484,2764625.439,2620030.391,2559438.995,2526787.878
488,2543532.844,2597803.122,2629595.65,2640568.039
492,2613105.594,2494839.028,2425712.73,2388673.036
496,2209996.448,2220772.989,2248500.909,2258710.122
500,2466299.114,2439654.335,2407071.183,2387911.504
504,2161294.039,2089910.741,2071853.343,2061612.926
508,2258614.698,2306703.049,2329570.105,2335378.97
512,2366605.027,2288698.275,2243406.656,2222723.524
516,2226039.779,2244167.482,2271245.508,2279152.743
520,2621221.316,2634407.402,2631042.455,2628436.432
524,2729435.292,2694536.709,2684104.988,2679496.146
528,3094048.716,3159205.193,3204046.169,3220237.799
532,3850184.225,3881505.639,3892354.267,3899859.502
536,4485064.565,4513880.563,4539616.327,4548955.125
540,5253136.619,5290283.634,5315535.601,5320571.143
544,5468051.213,5378212.804,5327726.795,5297891.177
548,4734086.005,4598596.464,4538128.065,4497276.226
552,3960717.453,3884183.462,3852062.448,3830346.918
556,3524331.294,3459177.824,3424863.697,3406509.646
560,3254623.463,3210498.88,3194785.555,3179613.545
564,3386254.117,3412837.185,3433651.06,3443916.709
568,4048947.162,4101602.151,4130133.013,4147239.528
572,4841105.043,4857983.559,4870707.211,4867764.813
576,5198758.432,5159957.153,5143889.804,5128853.729
580,4772267.277,4663938.464,4608744.818,4579554.894
584,3710201.345,3563657.812,3491502.656,3444140.406
588,2647806.015,2547203.207,2500245.538,2468046.553
592,2058652.398,2020290.378,2001192.961,1996480.05
596,1759163.077,1717903.311,1696745.846,1684994.804
600,1422583.417,1371135.13,1347243.246,1325109.711
