546,5112498.471,5083526.383,5085521.754,5085376.49,5088118.739,5089999.647,5090870.39,5092887.438,5093988.307
547,4881243.25,4862995.945,4869479.966,4870894.623,4874975.089,4876216.694,4878631.491,4868270.352,4864548.297
548,4648068.633,4639080.074,4648227.965,4651301.143,4655644.749,4656962.852,4659882.812,4640973.424,4633273.591
549,4430327.998,4426869.66,4436195.975,4440534.587,4444021.964,4446037.535,4448344.64,4426947.554,4417202.83
550,4238591.836,4235763.143,4242830.121,4247679.072,4249449.181,4252523.036,4253329.712,4236002.858,4226649.773
555,3621456.116,3588063.754,3580165.979,3579003.586,3575762.644,3580115.576,3575784.618,3601256.274,3608262.502
560,3253965.188,3250543.618,3257718.569,3259943.46,3264172.099,3265254.501,3267055.068,3250315.088,3243769.607
565,3628487.939,3610317.483,3607204.188,3608566.596,3606325.505,3609979.156,3607723.728,3617733.038,3618538.368
570,4604074.012,4576078.129,4575434.843,4575578.694,4575355.174,4578883.195,4576952.123,4587362.043,4587708.091
571,4785758.581,4764479.132,4766607.631,4767978.792,4769549.416,4772814.096,4771828.18,4772282.459,4769256.06
572,4945653.999,4931248.27,4935568.136,4938207.071,4941296.861,4944320.234,4944208.268,4935487.96,4929443.157
573,5077109.06,5068016.098,5073479.531,5077114.639,5081145.429,5083969.638,5084505.494,5069473.246,5061455.259
574,5173543.521,5166920.223,5172277.25,5176394.514,5180610.818,5183292.35,5184143.351,5167042.855,5158516.604
575,5228542.862,5220982.194,5225072.36,5229052.595,5232677.962,5235280.878,5236080.784,5221533.118,5214033.602
576,5236241.739,5224609.221,5226615.543,5229878.072,5232279.118,5234878.99,5235285.76,5227243.34,5222017.18
577,5191971.856,5174150.861,5173759.014,5175914.745,5176717.413,5179393.32,5179159.468,5180028.983,5177763.182
578,5093063.229,5068451.042,5065888.342,5066819.178,5065978.801,5068818.046,5067815.46,5077968.084,5078648.311
579,4939627.27,4909275.9,4905223.077,4905112.798,4902905.714,4905985.435,4904229.264,4921964.592,4924912.638
580,4735152.014,4701523.131,4696937.587,4696215.578,4693169.837,4696546.363,4694175.287,4716160.833,4720208.924
581,4486717.977,4453134.265,4449014.791,4448251.685,4445034.084,4448716.969,4445963.788,4468012.347,4471788.036
582,4204757.105,4174664.126,4171831.999,4171594.508,4168869.123,4172814.427,4169955.475,4187962.305,4190209.209
583,3902292.978,3878527.528,3877451.646,3878162.844,3876466.155,3880560.058,3877875.921,3888708.476,3888560.587
584,3593772,3577955.302,3578680.546,3580522.995,3580162.93,3584233.947,3581956.334,3584090.08,3581268.11
585,3293593.868,3285823.144,3287988.362,3290851.996,3291868.078,3295705.211,3293991.808,3287775.537,3282628.229
590,2245968.636,2242682.635,2242478.762,2243327.641,2245126.77,2245912.234,2246358.147,2242320.138,2241443.901
595,1829358.452,1808749.787,1807630.15,1806250.604,1803144.537,1805415.021,1803621.775,1819128.294,1823378.447
600,1371653.017,1377620.858,1378727.644,1382435.285,1382892.353,1386654.825,1384003.398,1373732.892,1367441.159
