Theta [deg.],Phi   [deg.],Abs(RCS )[dB(nm^2)],Abs(Theta)[dB(nm^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(nm^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
3,105,9.11E+01,7.95E+01,226.125,9.08E+01,227.689,4.00E+01
6,105,9.42E+01,8.25E+01,36.133,9.39E+01,36.475,4.00E+01
9,105,9.17E+01,7.99E+01,248.275,9.14E+01,248.122,4.00E+01
12,105,8.69E+01,7.52E+01,97.193,8.66E+01,96.115,4.00E+01
15,105,8.11E+01,6.96E+01,311.626,8.08E+01,309.354,3.99E+01
18,105,7.65E+01,6.54E+01,177.864,7.62E+01,177.293,4.00E+01
21,105,7.57E+01,6.44E+01,40.412,7.53E+01,43.034,3.84E+01
24,105,7.60E+01,6.43E+01,245.677,7.57E+01,248.02,3.98E+01
27,105,7.53E+01,6.34E+01,80.901,7.51E+01,81.481,4.00E+01
30,105,7.34E+01,6.13E+01,273.052,7.31E+01,270.682,4.00E+01
33,105,6.99E+01,5.79E+01,106.488,6.96E+01,99.572,3.07E+01
36,105,6.44E+01,5.34E+01,311.017,6.40E+01,298.34,2.45E+01
39,105,5.94E+01,5.04E+01,176.079,5.89E+01,176.288,4.00E+01
42,105,6.32E+01,5.20E+01,30.517,6.28E+01,39.043,2.81E+01
45,105,6.58E+01,5.34E+01,225.064,6.55E+01,228.188,3.79E+01
48,105,6.61E+01,5.31E+01,54.172,6.58E+01,50.943,3.82E+01
51,105,6.43E+01,5.11E+01,243.411,6.41E+01,231.509,2.71E+01
54,105,5.99E+01,4.78E+01,84.208,5.96E+01,60.303,2.02E+01
57,105,5.42E+01,4.57E+01,305.133,5.36E+01,295.757,2.49E+01
60,105,5.93E+01,4.74E+01,158.573,5.91E+01,167.606,2.83E+01
63,105,6.25E+01,4.85E+01,354.633,6.23E+01,354.253,4.00E+01
66,105,6.24E+01,4.77E+01,188.072,6.22E+01,175.111,2.78E+01
69,105,5.89E+01,4.56E+01,30.937,5.87E+01,3.644,2.02E+01
72,105,5.42E+01,4.45E+01,247.138,5.38E+01,239.749,2.81E+01
75,105,5.93E+01,4.51E+01,97.897,5.91E+01,106.862,3.05E+01
78,105,6.13E+01,4.50E+01,299.753,6.12E+01,294.061,3.65E+01
81,105,5.89E+01,4.36E+01,145.071,5.88E+01,121.727,2.34E+01
84,105,5.31E+01,4.24E+01,356.146,5.27E+01,353.16,3.68E+01
87,105,5.75E+01,4.14E+01,203.85,5.74E+01,229.386,2.35E+01
90,105,5.83E+01,3.97E+01,51.499,5.83E+01,54.938,4.00E+01
93,105,5.14E+01,3.88E+01,260.254,5.12E+01,238.53,2.14E+01
96,105,4.78E+01,3.83E+01,95.009,4.73E+01,179.848,9.02E+00
99,105,5.16E+01,3.57E+01,288.098,5.15E+01,343.389,1.76E+01
102,105,5.12E+01,3.44E+01,153.114,5.11E+01,102.724,1.90E+01
105,105,4.89E+01,3.75E+01,353.898,4.86E+01,249.267,1.15E+01
108,105,4.79E+01,3.48E+01,173.314,4.77E+01,200.488,2.01E+01
111,105,5.48E+01,2.60E+01,53.317,5.48E+01,20.002,3.40E+01
114,105,4.63E+01,3.48E+01,250.266,4.60E+01,206.588,1.48E+01
117,105,4.99E+01,3.56E+01,49.024,4.97E+01,143.627,1.41E+01
120,105,4.91E+01,2.79E+01,304.19,4.91E+01,274.704,2.75E+01
123,105,4.71E+01,3.72E+01,152.227,4.66E+01,33.47,1.08E+01
126,105,4.89E+01,2.90E+01,291.981,4.88E+01,351.645,2.11E+01
129,105,5.14E+01,2.56E+01,261.686,5.14E+01,160.505,2.60E+01
132,105,4.35E+01,3.65E+01,6.132,4.25E+01,124.988,7.81E+00
135,105,4.80E+01,2.17E+01,196.126,4.80E+01,243.816,2.89E+01
138,105,4.73E+01,3.57E+01,121.897,4.69E+01,7.576,1.21E+01
141,105,5.03E+01,3.17E+01,200.597,5.02E+01,318.558,1.96E+01
144,105,4.55E+01,2.90E+01,166.758,4.54E+01,105.497,1.76E+01
147,105,4.14E+01,3.62E+01,312.063,3.99E+01,81.891,7.73E+00
150,105,4.90E+01,3.08E+01,291.694,4.90E+01,149.817,2.24E+01
153,105,4.40E+01,3.39E+01,354.188,4.35E+01,125.123,1.25E+01
156,105,4.37E+01,1.62E+01,301.323,4.37E+01,245.456,2.91E+01
159,105,3.36E+01,3.28E+01,100.189,2.57E+01,28.596,7.77E+00
162,105,4.87E+01,2.66E+01,124.715,4.87E+01,293.769,3.66E+01
165,105,4.17E+01,3.72E+01,126.874,3.97E+01,324.497,1.66E+01
168,105,4.81E+01,2.70E+01,87.587,4.80E+01,289.705,2.96E+01
171,105,4.79E+01,3.92E+01,126.777,4.72E+01,309.17,3.69E+01
174,105,4.43E+01,3.34E+01,150.258,4.39E+01,351.891,1.98E+01
177,105,5.40E+01,3.60E+01,199.49,5.39E+01,305.161,1.83E+01
180,105,6.00E+01,4.83E+01,151.973,5.97E+01,331.973,4.00E+01
0,108,1.08E+02,9.74E+01,242.883,1.07E+02,242.883,4.00E+01
3,108,9.11E+01,8.11E+01,226.53,9.07E+01,228.106,4.00E+01
6,108,9.42E+01,8.41E+01,35.801,9.38E+01,36.139,4.00E+01
9,108,9.17E+01,8.15E+01,247.249,9.13E+01,247.105,4.00E+01
12,108,8.69E+01,7.67E+01,96.301,8.64E+01,95.206,4.00E+01
15,108,8.11E+01,7.12E+01,311.387,8.07E+01,309.089,3.84E+01
18,108,7.66E+01,6.70E+01,177.552,7.60E+01,176.998,4.00E+01
21,108,7.58E+01,6.60E+01,40,7.53E+01,42.581,3.72E+01
24,108,7.60E+01,6.59E+01,245.019,7.56E+01,247.36,3.84E+01
27,108,7.53E+01,6.49E+01,80.672,7.49E+01,81.23,4.00E+01
30,108,7.34E+01,6.29E+01,272.586,7.30E+01,270.223,3.86E+01
33,108,7.01E+01,5.96E+01,106.324,6.97E+01,99.562,2.94E+01
36,108,6.46E+01,5.51E+01,311.131,6.41E+01,298.664,2.33E+01
39,108,6.02E+01,5.24E+01,177.001,5.94E+01,177.434,4.00E+01
42,108,6.35E+01,5.37E+01,32.274,6.30E+01,41.196,2.64E+01
45,108,6.57E+01,5.48E+01,226.21,6.53E+01,229.41,3.63E+01
48,108,6.60E+01,5.46E+01,54.338,6.57E+01,50.799,3.59E+01
51,108,6.42E+01,5.27E+01,243.87,6.39E+01,232.026,2.56E+01
54,108,5.98E+01,4.93E+01,84.2,5.94E+01,60.318,1.87E+01
57,108,5.43E+01,4.73E+01,305.852,5.33E+01,296.09,2.33E+01
60,108,5.93E+01,4.89E+01,158.8,5.89E+01,167.871,2.69E+01
63,108,6.24E+01,5.00E+01,354.756,6.22E+01,354.572,4.00E+01
66,108,6.23E+01,4.93E+01,188.355,6.21E+01,175.353,2.62E+01
69,108,5.88E+01,4.71E+01,31.521,5.85E+01,3.812,1.85E+01
72,108,5.44E+01,4.60E+01,247.56,5.37E+01,240.403,2.71E+01
75,108,5.92E+01,4.67E+01,98.236,5.90E+01,107.323,2.88E+01
78,108,6.13E+01,4.65E+01,300.084,6.11E+01,294.453,3.51E+01
81,108,5.88E+01,4.51E+01,145.195,5.87E+01,121.707,2.18E+01
84,108,5.31E+01,4.40E+01,356.182,5.26E+01,354.121,3.86E+01
87,108,5.75E+01,4.30E+01,203.678,5.73E+01,229.528,2.18E+01
90,108,5.82E+01,4.13E+01,51.456,5.81E+01,54.929,4.00E+01
93,108,5.14E+01,4.05E+01,260.745,5.10E+01,238.813,1.97E+01
96,108,4.81E+01,4.01E+01,95.789,4.74E+01,179.911,7.40E+00
99,108,5.17E+01,3.73E+01,289.472,5.15E+01,343.925,1.62E+01
102,108,5.10E+01,3.60E+01,155.884,5.09E+01,103.272,1.70E+01
105,108,4.88E+01,3.89E+01,355.294,4.84E+01,249.305,9.91E+00
108,108,4.78E+01,3.60E+01,172.31,4.75E+01,201.644,1.81E+01
111,108,5.47E+01,2.74E+01,53.938,5.47E+01,19.865,3.23E+01
114,108,4.62E+01,3.63E+01,249.674,4.57E+01,208.658,1.37E+01
117,108,4.97E+01,3.71E+01,48.985,4.95E+01,144.942,1.25E+01
120,108,4.91E+01,2.95E+01,303.229,4.90E+01,273.515,2.57E+01
123,108,4.69E+01,3.86E+01,152.266,4.62E+01,35.179,8.94E+00
126,108,4.86E+01,3.08E+01,293.929,4.86E+01,351.163,1.93E+01
129,108,5.13E+01,2.66E+01,263.764,5.12E+01,161.813,2.48E+01
132,108,4.36E+01,3.79E+01,6.44,4.22E+01,123.753,6.19E+00
135,108,4.76E+01,2.40E+01,204.293,4.75E+01,243.573,2.75E+01
138,108,4.71E+01,3.73E+01,121.199,4.66E+01,8.373,1.01E+01
141,108,5.02E+01,3.30E+01,201.143,5.01E+01,318.519,1.81E+01
144,108,4.54E+01,3.05E+01,168.6,4.53E+01,106.168,1.59E+01
147,108,4.16E+01,3.75E+01,312.85,3.94E+01,82.296,6.83E+00
150,108,4.88E+01,3.22E+01,292.487,4.87E+01,150.126,2.09E+01
153,108,4.41E+01,3.55E+01,353.952,4.34E+01,126.223,1.12E+01
156,108,4.35E+01,1.44E+01,287.479,4.35E+01,249.075,3.33E+01
159,108,3.48E+01,3.43E+01,99.937,2.56E+01,35.807,9.85E+00
162,108,4.87E+01,2.86E+01,126.59,4.87E+01,293.999,3.34E+01
165,108,4.22E+01,3.88E+01,126.795,3.96E+01,325.71,1.56E+01
168,108,4.77E+01,2.82E+01,79.077,4.77E+01,287.673,2.60E+01
171,108,4.82E+01,4.08E+01,127.143,4.73E+01,309.659,3.54E+01
174,108,4.45E+01,3.51E+01,149.923,4.39E+01,351.21,1.86E+01
177,108,5.40E+01,3.77E+01,198.826,5.39E+01,305.514,1.66E+01
180,108,6.00E+01,4.98E+01,151.973,5.96E+01,331.973,4.00E+01
0,111,1.08E+02,9.87E+01,242.883,1.07E+02,242.883,4.00E+01
3,111,9.11E+01,8.23E+01,226.966,9.05E+01,228.556,4.00E+01
6,111,9.43E+01,8.54E+01,35.386,9.37E+01,35.719,4.00E+01
9,111,9.17E+01,8.28E+01,246.314,9.11E+01,246.179,4.00E+01
12,111,8.68E+01,7.80E+01,95.878,8.62E+01,94.772,4.00E+01
15,111,8.12E+01,7.25E+01,311.307,8.06E+01,309.002,3.72E+01
18,111,7.66E+01,6.83E+01,177.507,7.59E+01,176.955,4.00E+01
21,111,7.59E+01,6.73E+01,39.789,7.52E+01,42.376,3.61E+01
24,111,7.61E+01,6.72E+01,244.841,7.55E+01,247.176,3.73E+01
27,111,7.53E+01,6.62E+01,80.529,7.47E+01,81.023,4.00E+01
30,111,7.34E+01,6.42E+01,272.393,7.29E+01,270.032,3.75E+01
33,111,7.01E+01,6.10E+01,106.169,6.95E+01,99.469,2.84E+01
36,111,6.49E+01,5.65E+01,310.576,6.42E+01,298.061,2.22E+01
39,111,6.07E+01,5.39E+01,176.265,5.96E+01,176.199,4.00E+01
42,111,6.38E+01,5.52E+01,31.99,6.31E+01,40.536,2.57E+01
45,111,6.58E+01,5.63E+01,227.401,6.53E+01,230.699,3.49E+01
48,111,6.59E+01,5.58E+01,54.872,6.55E+01,51.464,3.51E+01
51,111,6.42E+01,5.39E+01,244.368,6.37E+01,232.474,2.44E+01
54,111,5.98E+01,5.05E+01,84.719,5.92E+01,60.285,1.73E+01
57,111,5.45E+01,4.85E+01,306.067,5.32E+01,297.174,2.34E+01
60,111,5.94E+01,5.02E+01,159.253,5.88E+01,168.505,2.56E+01
63,111,6.24E+01,5.13E+01,355.05,6.20E+01,354.6,4.00E+01
66,111,6.22E+01,5.05E+01,188.843,6.19E+01,175.75,2.49E+01
69,111,5.88E+01,4.84E+01,31.673,5.84E+01,3.917,1.73E+01
72,111,5.44E+01,4.73E+01,247.986,5.35E+01,241.151,2.66E+01
75,111,5.92E+01,4.80E+01,98.317,5.88E+01,107.4,2.76E+01
78,111,6.12E+01,4.78E+01,300.161,6.10E+01,294.9,3.43E+01
81,111,5.88E+01,4.65E+01,145.546,5.85E+01,122.214,2.06E+01
84,111,5.32E+01,4.53E+01,356.698,5.24E+01,354.515,3.70E+01
87,111,5.74E+01,4.44E+01,204.429,5.72E+01,230.175,2.05E+01
90,111,5.81E+01,4.26E+01,52.638,5.80E+01,55.451,4.00E+01
93,111,5.13E+01,4.18E+01,262.012,5.08E+01,239.619,1.84E+01
96,111,4.83E+01,4.12E+01,97.039,4.74E+01,181.07,6.21E+00
99,111,5.15E+01,3.84E+01,290.425,5.13E+01,345.072,1.49E+01
102,111,5.09E+01,3.70E+01,156.443,5.07E+01,103.395,1.57E+01
105,111,4.88E+01,4.00E+01,354.925,4.82E+01,248.846,8.61E+00
108,111,4.77E+01,3.74E+01,171.99,4.73E+01,200.841,1.69E+01
111,111,5.46E+01,2.87E+01,53.864,5.45E+01,20.464,3.11E+01
114,111,4.61E+01,3.76E+01,250.277,4.54E+01,208.33,1.22E+01
117,111,4.98E+01,3.84E+01,48.304,4.94E+01,144.87,1.11E+01
120,111,4.88E+01,3.11E+01,301.752,4.88E+01,274.002,2.44E+01
123,111,4.71E+01,3.99E+01,152.151,4.61E+01,34.829,7.72E+00
126,111,4.86E+01,3.22E+01,295.566,4.85E+01,351.788,1.80E+01
129,111,5.12E+01,2.83E+01,267.216,5.12E+01,162.247,2.32E+01
132,111,4.39E+01,3.93E+01,7.935,4.20E+01,126.809,5.37E+00
135,111,4.74E+01,2.55E+01,200.204,4.74E+01,245.095,2.49E+01
138,111,4.70E+01,3.86E+01,121.621,4.63E+01,9.206,8.66E+00
141,111,5.01E+01,3.42E+01,200.825,5.00E+01,318.531,1.69E+01
144,111,4.53E+01,3.18E+01,170.272,4.51E+01,106.09,1.42E+01
147,111,4.19E+01,3.85E+01,312.497,3.91E+01,79.286,6.04E+00
150,111,4.86E+01,3.34E+01,292.915,4.85E+01,150.038,1.96E+01
153,111,4.40E+01,3.66E+01,353.485,4.31E+01,125.661,1.01E+01
156,111,4.33E+01,1.40E+01,275.8,4.33E+01,250.368,3.67E+01
159,111,3.60E+01,3.56E+01,99.862,2.51E+01,37.129,1.17E+01
162,111,4.86E+01,2.97E+01,126.076,4.85E+01,293.593,3.23E+01
165,111,4.24E+01,3.99E+01,126.482,3.89E+01,326.814,1.50E+01
168,111,4.75E+01,2.95E+01,75.267,4.75E+01,286.648,2.38E+01
171,111,4.84E+01,4.22E+01,127.465,4.73E+01,310.134,3.41E+01
174,111,4.47E+01,3.66E+01,149.715,4.40E+01,350.597,1.77E+01
177,111,5.39E+01,3.92E+01,198.134,5.38E+01,305.889,1.51E+01
180,111,6.00E+01,5.11E+01,151.973,5.94E+01,331.973,4.00E+01
0,114,1.08E+02,9.98E+01,242.883,1.07E+02,242.883,4.00E+01
3,114,9.11E+01,8.34E+01,227.417,9.03E+01,229.019,3.96E+01
6,114,9.43E+01,8.65E+01,34.899,9.35E+01,35.226,4.00E+01
9,114,9.17E+01,8.39E+01,245.583,9.09E+01,245.456,4.00E+01
12,114,8.69E+01,7.91E+01,95.899,8.61E+01,94.788,4.00E+01
15,114,8.12E+01,7.37E+01,311.25,8.04E+01,308.938,3.63E+01
18,114,7.66E+01,6.94E+01,177.716,7.57E+01,177.162,4.00E+01
21,114,7.59E+01,6.85E+01,39.909,7.50E+01,42.54,3.51E+01
24,114,7.61E+01,6.83E+01,245.06,7.53E+01,247.375,3.64E+01
27,114,7.53E+01,6.73E+01,80.382,7.45E+01,80.82,4.00E+01
30,114,7.34E+01,6.53E+01,272.41,7.27E+01,270.049,3.65E+01
33,114,7.01E+01,6.20E+01,105.9,6.93E+01,99.182,2.74E+01
36,114,6.50E+01,5.77E+01,310.2,6.41E+01,297.723,2.14E+01
39,114,6.07E+01,5.50E+01,175.288,5.94E+01,174.582,4.00E+01
42,114,6.39E+01,5.64E+01,31.018,6.30E+01,39.046,2.54E+01
45,114,6.60E+01,5.75E+01,227.046,6.53E+01,230.261,3.42E+01
48,114,6.60E+01,5.70E+01,55.774,6.54E+01,52.527,3.45E+01
51,114,6.41E+01,5.50E+01,244.862,6.35E+01,232.679,2.32E+01
54,114,5.97E+01,5.16E+01,85.534,5.90E+01,61.201,1.63E+01
57,114,5.47E+01,4.97E+01,306.639,5.30E+01,298.574,2.37E+01
60,114,5.94E+01,5.14E+01,159.787,5.87E+01,168.804,2.49E+01
63,114,6.23E+01,5.24E+01,355.52,6.19E+01,354.953,4.00E+01
66,114,6.21E+01,5.16E+01,188.911,6.17E+01,175.888,2.38E+01
69,114,5.87E+01,4.95E+01,31.879,5.82E+01,4.589,1.64E+01
72,114,5.45E+01,4.84E+01,248.343,5.33E+01,241.725,2.61E+01
75,114,5.92E+01,4.91E+01,98.669,5.87E+01,107.833,2.64E+01
78,114,6.11E+01,4.90E+01,300.615,6.08E+01,295.105,3.27E+01
81,114,5.87E+01,4.76E+01,146.274,5.83E+01,122.829,1.93E+01
84,114,5.33E+01,4.64E+01,357.427,5.23E+01,355.301,3.65E+01
87,114,5.73E+01,4.54E+01,205.362,5.70E+01,230.595,1.95E+01
90,114,5.80E+01,4.37E+01,53.59,5.78E+01,56.007,4.00E+01
93,114,5.12E+01,4.28E+01,262.452,5.05E+01,240.198,1.74E+01
96,114,4.84E+01,4.22E+01,97.128,4.72E+01,181.764,5.09E+00
99,114,5.14E+01,3.94E+01,290.065,5.11E+01,344.938,1.37E+01
102,114,5.07E+01,3.81E+01,155.048,5.05E+01,103.622,1.47E+01
105,114,4.88E+01,4.12E+01,354.59,4.80E+01,249.304,7.27E+00
108,114,4.78E+01,3.86E+01,172.812,4.72E+01,201.92,1.58E+01
111,114,5.43E+01,3.00E+01,54.265,5.43E+01,20.779,2.95E+01
114,114,4.61E+01,3.87E+01,250.566,4.52E+01,208.557,1.11E+01
117,114,4.97E+01,3.96E+01,49.296,4.93E+01,144.967,9.78E+00
120,114,4.87E+01,3.21E+01,303.542,4.86E+01,274.893,2.30E+01
123,114,4.71E+01,4.11E+01,152.127,4.59E+01,34.585,6.57E+00
126,114,4.87E+01,3.30E+01,294.801,4.86E+01,352.588,1.71E+01
129,114,5.10E+01,3.01E+01,265.495,5.10E+01,161.31,2.11E+01
132,114,4.43E+01,4.04E+01,8.63,4.20E+01,127.681,4.93E+00
135,114,4.73E+01,2.63E+01,198.031,4.73E+01,245.98,2.36E+01
138,114,4.70E+01,3.97E+01,122.467,4.61E+01,9.162,7.54E+00
141,114,4.99E+01,3.52E+01,200.41,4.98E+01,318.564,1.57E+01
144,114,4.51E+01,3.29E+01,170.836,4.48E+01,105.641,1.29E+01
147,114,4.25E+01,3.96E+01,312.036,3.93E+01,79.412,6.13E+00
150,114,4.85E+01,3.47E+01,293.137,4.83E+01,149.683,1.84E+01
153,114,4.42E+01,3.78E+01,352.559,4.31E+01,125.616,9.30E+00
156,114,4.31E+01,1.59E+01,281.319,4.31E+01,249.178,3.26E+01
159,114,3.70E+01,3.68E+01,99.56,2.39E+01,36.421,1.40E+01
162,114,4.83E+01,3.01E+01,122.995,4.82E+01,292.578,3.32E+01
165,114,4.28E+01,4.08E+01,126.52,3.83E+01,328.162,1.48E+01
168,114,4.74E+01,3.07E+01,76.029,4.73E+01,286.606,2.26E+01
171,114,4.87E+01,4.33E+01,127.736,4.72E+01,310.602,3.29E+01
174,114,4.50E+01,3.79E+01,149.661,4.40E+01,350.098,1.70E+01
177,114,5.39E+01,4.04E+01,197.448,5.37E+01,306.271,1.38E+01
180,114,6.00E+01,5.22E+01,151.973,5.93E+01,331.973,4.00E+01
0,117,1.08E+02,1.01E+02,242.883,1.07E+02,242.883,4.00E+01
3,117,9.10E+01,8.43E+01,227.863,9.00E+01,229.479,3.88E+01
6,117,9.44E+01,8.75E+01,34.362,9.34E+01,34.683,4.00E+01
9,117,9.17E+01,8.49E+01,245.143,9.07E+01,245.021,4.00E+01
12,117,8.69E+01,8.01E+01,96.179,8.59E+01,95.068,4.00E+01
15,117,8.12E+01,7.46E+01,311.102,8.02E+01,308.767,3.55E+01
18,117,7.66E+01,7.03E+01,178.032,7.54E+01,177.478,4.00E+01
21,117,7.59E+01,6.94E+01,40.253,7.48E+01,42.947,3.42E+01
24,117,7.60E+01,6.92E+01,245.178,7.50E+01,247.483,3.57E+01
27,117,7.53E+01,6.83E+01,80.219,7.43E+01,80.649,4.00E+01
30,117,7.34E+01,6.62E+01,272.272,7.25E+01,269.913,3.58E+01
33,117,7.01E+01,6.30E+01,105.722,6.91E+01,98.967,2.66E+01
36,117,6.50E+01,5.86E+01,309.881,6.38E+01,297.501,2.08E+01
39,117,6.08E+01,5.59E+01,174.752,5.91E+01,173.639,4.00E+01
42,117,6.38E+01,5.74E+01,30.578,6.27E+01,38.496,2.48E+01
45,117,6.60E+01,5.85E+01,226.107,6.51E+01,229.255,3.35E+01
48,117,6.61E+01,5.81E+01,55.476,6.53E+01,52.209,3.36E+01
51,117,6.42E+01,5.61E+01,245.364,6.34E+01,233.362,2.24E+01
54,117,5.98E+01,5.27E+01,86.062,5.88E+01,62.126,1.56E+01
57,117,5.50E+01,5.07E+01,307.496,5.29E+01,300.048,2.40E+01
60,117,5.95E+01,5.24E+01,159.857,5.86E+01,168.768,2.42E+01
63,117,6.23E+01,5.34E+01,355.747,6.17E+01,355.267,4.00E+01
66,117,6.21E+01,5.27E+01,189.185,6.15E+01,176.117,2.28E+01
69,117,5.87E+01,5.05E+01,32.416,5.80E+01,5.049,1.54E+01
72,117,5.48E+01,4.94E+01,248.789,5.32E+01,242.21,2.56E+01
75,117,5.91E+01,5.01E+01,99.25,5.85E+01,108.114,2.58E+01
78,117,6.10E+01,4.99E+01,301.176,6.06E+01,295.452,3.14E+01
81,117,5.85E+01,4.85E+01,146.749,5.81E+01,123.11,1.83E+01
84,117,5.33E+01,4.73E+01,357.838,5.21E+01,356.153,3.79E+01
87,117,5.72E+01,4.63E+01,205.448,5.69E+01,230.705,1.86E+01
90,117,5.78E+01,4.46E+01,53.406,5.76E+01,55.993,4.00E+01
93,117,5.12E+01,4.37E+01,262.028,5.03E+01,240.314,1.67E+01
96,117,4.86E+01,4.32E+01,96.542,4.71E+01,181.291,3.94E+00
99,117,5.13E+01,4.04E+01,289.875,5.10E+01,344.954,1.25E+01
102,117,5.06E+01,3.93E+01,155.668,5.03E+01,104.071,1.34E+01
105,117,4.87E+01,4.23E+01,355.388,4.76E+01,250.038,5.91E+00
108,117,4.78E+01,3.95E+01,173.576,4.71E+01,202.943,1.49E+01
111,117,5.41E+01,3.12E+01,56.04,5.41E+01,20.897,2.77E+01
114,117,4.61E+01,3.98E+01,251.04,4.50E+01,209.623,1.03E+01
117,117,4.97E+01,4.05E+01,50.195,4.91E+01,145.99,8.66E+00
120,117,4.86E+01,3.32E+01,305.914,4.84E+01,274.492,2.11E+01
123,117,4.70E+01,4.20E+01,152.845,4.53E+01,36.078,5.44E+00
126,117,4.84E+01,3.36E+01,296.171,4.82E+01,352.224,1.63E+01
129,117,5.07E+01,3.12E+01,265.069,5.07E+01,161.667,1.97E+01
132,117,4.47E+01,4.13E+01,7.778,4.21E+01,127.175,4.75E+00
135,117,4.71E+01,2.71E+01,200.108,4.70E+01,246.286,2.28E+01
138,117,4.70E+01,4.06E+01,123.023,4.59E+01,9.499,6.57E+00
141,117,4.98E+01,3.62E+01,199.23,4.96E+01,318.688,1.47E+01
144,117,4.49E+01,3.38E+01,169.986,4.46E+01,105.826,1.19E+01
147,117,4.30E+01,4.07E+01,311.75,3.92E+01,80.838,6.65E+00
150,117,4.84E+01,3.57E+01,293.5,4.82E+01,149.743,1.73E+01
153,117,4.46E+01,3.90E+01,351.947,4.31E+01,126.455,8.86E+00
156,117,4.28E+01,1.78E+01,282.22,4.28E+01,248.32,3.01E+01
159,117,3.79E+01,3.78E+01,98.958,2.23E+01,37.288,1.67E+01
162,117,4.80E+01,3.04E+01,119.374,4.80E+01,291.781,3.53E+01
165,117,4.34E+01,4.19E+01,127.236,3.82E+01,329.582,1.49E+01
168,117,4.74E+01,3.19E+01,79.255,4.73E+01,287.122,2.21E+01
171,117,4.89E+01,4.43E+01,127.961,4.70E+01,311.074,3.17E+01
174,117,4.52E+01,3.90E+01,149.757,4.41E+01,349.734,1.65E+01
177,117,5.38E+01,4.15E+01,196.794,5.35E+01,306.644,1.26E+01
180,117,6.00E+01,5.32E+01,151.973,5.90E+01,331.973,4.00E+01
0,120,1.08E+02,1.02E+02,242.883,1.06E+02,242.883,4.00E+01
3,120,9.10E+01,8.51E+01,228.282,8.97E+01,229.91,3.81E+01
6,120,9.44E+01,8.84E+01,33.808,9.32E+01,34.122,4.00E+01
9,120,9.17E+01,8.57E+01,245.024,9.05E+01,244.907,4.00E+01
12,120,8.69E+01,8.09E+01,96.464,8.57E+01,95.355,4.00E+01
15,120,8.12E+01,7.54E+01,310.868,7.99E+01,308.497,3.48E+01
18,120,7.66E+01,7.11E+01,178.262,7.51E+01,177.707,4.00E+01
21,120,7.59E+01,7.02E+01,40.508,7.45E+01,43.261,3.34E+01
24,120,7.60E+01,7.01E+01,245.01,7.48E+01,247.326,3.51E+01
27,120,7.53E+01,6.91E+01,80.16,7.41E+01,80.614,4.00E+01
30,120,7.33E+01,6.71E+01,272.104,7.22E+01,269.71,3.50E+01
33,120,7.01E+01,6.39E+01,105.731,6.89E+01,98.959,2.60E+01
36,120,6.50E+01,5.94E+01,309.646,6.35E+01,297.232,2.02E+01
39,120,6.10E+01,5.67E+01,174.764,5.89E+01,173.698,4.00E+01
42,120,6.38E+01,5.82E+01,30.454,6.24E+01,38.549,2.40E+01
45,120,6.59E+01,5.93E+01,225.901,6.48E+01,229.023,3.29E+01
48,120,6.60E+01,5.90E+01,54.639,6.51E+01,51.195,3.24E+01
51,120,6.42E+01,5.70E+01,245.091,6.33E+01,233.395,2.19E+01
54,120,5.99E+01,5.36E+01,86.054,5.87E+01,62.232,1.50E+01
57,120,5.54E+01,5.17E+01,307.194,5.29E+01,299.726,2.38E+01
60,120,5.96E+01,5.33E+01,159.868,5.84E+01,168.948,2.35E+01
63,120,6.23E+01,5.43E+01,355.819,6.15E+01,355.151,4.00E+01
66,120,6.20E+01,5.35E+01,189.665,6.13E+01,176.469,2.19E+01
69,120,5.86E+01,5.14E+01,32.706,5.77E+01,5.35,1.46E+01
72,120,5.49E+01,5.03E+01,249.118,5.31E+01,242.847,2.57E+01
75,120,5.90E+01,5.09E+01,99.46,5.83E+01,108.152,2.52E+01
78,120,6.08E+01,5.08E+01,301.235,6.04E+01,295.735,3.09E+01
81,120,5.85E+01,4.94E+01,146.682,5.79E+01,123.441,1.76E+01
84,120,5.34E+01,4.82E+01,357.797,5.18E+01,356.241,3.81E+01
87,120,5.71E+01,4.72E+01,205.247,5.67E+01,230.983,1.75E+01
90,120,5.77E+01,4.55E+01,53.282,5.74E+01,56.208,3.83E+01
93,120,5.12E+01,4.47E+01,262.301,5.01E+01,240.95,1.62E+01
96,120,4.88E+01,4.42E+01,97.11,4.69E+01,181.088,2.87E+00
99,120,5.13E+01,4.14E+01,291.067,5.08E+01,345.07,1.16E+01
102,120,5.04E+01,4.02E+01,156.982,5.00E+01,104.712,1.22E+01
105,120,4.87E+01,4.31E+01,356.249,4.73E+01,250.267,4.89E+00
108,120,4.77E+01,4.04E+01,174.756,4.68E+01,203.248,1.44E+01
111,120,5.39E+01,3.20E+01,57.98,5.38E+01,21.787,2.64E+01
114,120,4.60E+01,4.06E+01,252.058,4.45E+01,209.978,9.36E+00
117,120,4.96E+01,4.12E+01,49.999,4.89E+01,145.77,7.73E+00
120,120,4.83E+01,3.40E+01,306.386,4.82E+01,275.505,2.02E+01
123,120,4.72E+01,4.28E+01,154.034,4.52E+01,36.553,5.01E+00
126,120,4.81E+01,3.43E+01,296.908,4.80E+01,352.177,1.55E+01
