Theta [deg.],Phi   [deg.],Abs(RCS )[dB(nm^2)],Abs(Theta)[dB(nm^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(nm^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
------------,--------------,----------------------,----------------------,--------------------,----------------------,--------------------,------------------------
0,0,1.09E+02,1.09E+02,63.112,-9.50E+01,166.691,4.00E+01
3,0,1.03E+02,1.03E+02,48.636,-3.58E+01,244.334,4.00E+01
6,0,9.55E+01,9.55E+01,282.418,-3.03E+01,46.55,4.00E+01
9,0,8.89E+01,8.89E+01,205.625,-3.98E+01,216.522,4.00E+01
12,0,8.84E+01,8.84E+01,87.635,-3.29E+01,216.206,4.00E+01
15,0,8.32E+01,8.32E+01,311.374,-3.01E+01,16.658,4.00E+01
18,0,7.74E+01,7.74E+01,216.155,-3.87E+01,162.084,4.00E+01
21,0,7.88E+01,7.88E+01,93.106,-3.48E+01,170.726,4.00E+01
24,0,7.53E+01,7.53E+01,304.383,-3.24E+01,315.096,4.00E+01
27,0,6.80E+01,6.80E+01,199.125,-4.43E+01,80.651,4.00E+01
30,0,7.12E+01,7.12E+01,83.963,-4.18E+01,86.152,4.00E+01
33,0,7.04E+01,7.04E+01,287.42,-4.73E+01,200.325,4.00E+01
36,0,6.42E+01,6.42E+01,158.726,-5.31E+01,83.92,4.00E+01
39,0,6.66E+01,6.66E+01,66.557,-4.56E+01,210.547,4.00E+01
42,0,6.66E+01,6.66E+01,277.643,-6.03E+01,305.254,4.00E+01
45,0,6.07E+01,6.07E+01,138.057,-5.16E+01,100.992,4.00E+01
48,0,6.23E+01,6.23E+01,46.072,-5.44E+01,176.093,4.00E+01
51,0,6.33E+01,6.33E+01,259.344,-4.91E+01,242.401,4.00E+01
54,0,5.87E+01,5.87E+01,123.417,-5.56E+01,15.986,4.00E+01
57,0,5.95E+01,5.95E+01,26.923,-5.30E+01,138.613,4.00E+01
60,0,6.08E+01,6.08E+01,241.759,-5.64E+01,125.489,4.00E+01
63,0,5.64E+01,5.64E+01,116.376,-5.71E+01,323.57,4.00E+01
66,0,5.84E+01,5.84E+01,8.447,-6.26E+01,61.556,4.00E+01
69,0,5.79E+01,5.79E+01,228.38,-6.91E+01,173.718,4.00E+01
72,0,5.53E+01,5.53E+01,116.263,-6.47E+01,12.182,4.00E+01
75,0,5.66E+01,5.66E+01,354.647,-6.51E+01,172.745,4.00E+01
78,0,5.48E+01,5.48E+01,227.409,-5.66E+01,96.738,4.00E+01
81,0,5.42E+01,5.42E+01,113.902,-5.62E+01,317.58,4.00E+01
84,0,5.33E+01,5.33E+01,349.768,-5.77E+01,190.055,4.00E+01
87,0,5.20E+01,5.20E+01,230.735,-5.26E+01,68,4.00E+01
90,0,5.02E+01,5.02E+01,108.215,-5.32E+01,297.824,4.00E+01
93,0,4.93E+01,4.93E+01,349.657,-5.37E+01,182.834,4.00E+01
96,0,4.75E+01,4.75E+01,210.835,-5.07E+01,41.83,4.00E+01
99,0,4.55E+01,4.55E+01,102.792,-5.25E+01,281.629,4.00E+01
102,0,4.79E+01,4.79E+01,317.204,-5.02E+01,155.159,4.00E+01
105,0,4.25E+01,4.25E+01,206.023,-5.37E+01,15.919,4.00E+01
108,0,4.81E+01,4.81E+01,84.739,-5.19E+01,243.831,4.00E+01
111,0,3.64E+01,3.64E+01,317.16,-5.36E+01,125.326,4.00E+01
114,0,4.49E+01,4.49E+01,218.219,-5.56E+01,14.873,4.00E+01
117,0,3.89E+01,3.89E+01,342.503,-6.09E+01,286.73,4.00E+01
120,0,4.27E+01,4.27E+01,311.761,-5.70E+01,203.031,4.00E+01
123,0,4.45E+01,4.45E+01,116.987,-5.65E+01,100.283,4.00E+01
126,0,4.67E+01,4.67E+01,73.32,-5.52E+01,8.345,4.00E+01
129,0,4.18E+01,4.18E+01,268.253,-5.55E+01,272.478,4.00E+01
132,0,4.67E+01,4.67E+01,229.038,-5.37E+01,206.119,4.00E+01
135,0,4.16E+01,4.16E+01,283.2,-5.17E+01,123.666,4.00E+01
138,0,4.28E+01,4.28E+01,289.1,-5.63E+01,71.976,4.00E+01
141,0,4.23E+01,4.23E+01,79.043,-5.83E+01,66.043,4.00E+01
144,0,4.94E+01,4.94E+01,61.163,-5.47E+01,45.082,4.00E+01
147,0,4.34E+01,4.34E+01,49.32,-5.52E+01,353.694,4.00E+01
150,0,3.79E+01,3.79E+01,93.891,-6.32E+01,40.504,4.00E+01
153,0,2.66E+01,2.66E+01,87.297,-4.96E+01,25.377,4.00E+01
156,0,4.69E+01,4.69E+01,215.833,-5.18E+01,350.672,4.00E+01
159,0,4.82E+01,4.82E+01,215.207,-5.62E+01,54.303,4.00E+01
162,0,4.76E+01,4.76E+01,224.645,-4.81E+01,74.859,4.00E+01
165,0,5.10E+01,5.10E+01,244.184,-4.81E+01,102.162,4.00E+01
168,0,4.82E+01,4.82E+01,246.887,-5.07E+01,171.536,4.00E+01
171,0,4.02E+01,4.02E+01,342.69,-4.58E+01,213.329,4.00E+01
174,0,3.52E+01,3.52E+01,88.143,-5.08E+01,241.453,4.00E+01
177,0,5.61E+01,5.61E+01,178.988,-5.27E+01,325.491,4.00E+01
180,0,6.02E+01,6.02E+01,183.003,-8.64E+01,197.169,4.00E+01
0,3,1.09E+02,1.09E+02,63.112,8.35E+01,243.112,4.00E+01
3,3,1.03E+02,1.03E+02,48.639,7.73E+01,228.912,4.00E+01
6,3,9.55E+01,9.55E+01,282.396,6.99E+01,101.851,4.00E+01
9,3,8.89E+01,8.89E+01,205.667,6.31E+01,26.147,4.00E+01
12,3,8.84E+01,8.84E+01,87.601,6.28E+01,267.981,4.00E+01
15,3,8.31E+01,8.31E+01,311.275,5.75E+01,129.676,4.00E+01
