Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
30,3,-1.06E+02,-1.06E+02,335.834,-1.32E+02,153.446,4.00E+01
33,3,-1.07E+02,-1.07E+02,169.099,-1.33E+02,348.673,4.00E+01
36,3,-1.08E+02,-1.08E+02,0.143,-1.34E+02,182.329,4.00E+01
39,3,-1.09E+02,-1.09E+02,187.947,-1.35E+02,14.147,4.00E+01
42,3,-1.10E+02,-1.10E+02,12.951,-1.36E+02,202.402,4.00E+01
45,3,-1.11E+02,-1.11E+02,198.014,-1.36E+02,30.003,3.92E+01
48,3,-1.11E+02,-1.11E+02,18.991,-1.36E+02,213.336,3.71E+01
51,3,-1.12E+02,-1.12E+02,199.124,-1.37E+02,34.371,3.60E+01
54,3,-1.13E+02,-1.13E+02,17.183,-1.37E+02,212.624,3.55E+01
57,3,-1.14E+02,-1.14E+02,193.199,-1.37E+02,29.286,3.46E+01
60,3,-1.15E+02,-1.15E+02,7.773,-1.38E+02,203.641,3.45E+01
63,3,-1.16E+02,-1.17E+02,181.001,-1.40E+02,18.203,3.37E+01
66,3,-1.18E+02,-1.18E+02,351.752,-1.41E+02,190.956,3.28E+01
69,3,-1.20E+02,-1.20E+02,161.508,-1.44E+02,2.327,3.30E+01
72,3,-1.21E+02,-1.21E+02,328.954,-1.48E+02,182.904,3.14E+01
75,3,-1.22E+02,-1.22E+02,134.211,-1.51E+02,18.325,2.92E+01
78,3,-1.22E+02,-1.22E+02,299.177,-1.51E+02,209.99,2.88E+01
81,3,-1.21E+02,-1.21E+02,106.032,-1.48E+02,32.573,2.72E+01
84,3,-1.19E+02,-1.19E+02,276.29,-1.43E+02,199.635,2.42E+01
87,3,-1.17E+02,-1.17E+02,91.018,-1.39E+02,5.424,2.21E+01
90,3,-1.16E+02,-1.16E+02,270.393,-1.38E+02,179.809,2.18E+01
93,3,-1.14E+02,-1.14E+02,94.102,-1.37E+02,4.936,2.21E+01
96,3,-1.13E+02,-1.13E+02,281.124,-1.36E+02,196.978,2.23E+01
99,3,-1.13E+02,-1.13E+02,108.575,-1.34E+02,29.667,2.18E+01
102,3,-1.12E+02,-1.12E+02,294.072,-1.32E+02,220.803,2.01E+01
105,3,-1.13E+02,-1.13E+02,118.614,-1.30E+02,52.924,1.78E+01
108,3,-1.15E+02,-1.15E+02,304.174,-1.30E+02,253.339,1.69E+01
111,3,-1.16E+02,-1.16E+02,125.624,-1.30E+02,105.848,2.37E+01
114,3,-1.15E+02,-1.15E+02,302.22,-1.31E+02,322.414,2.51E+01
117,3,-1.16E+02,-1.16E+02,119.185,-1.36E+02,186.496,2.08E+01
120,3,-1.19E+02,-1.19E+02,299.576,-1.42E+02,123.878,4.00E+01
123,3,-1.21E+02,-1.21E+02,111.003,-1.37E+02,30.261,1.57E+01
126,3,-1.17E+02,-1.17E+02,275.133,-1.34E+02,265.712,3.29E+01
129,3,-1.16E+02,-1.16E+02,94.012,-1.38E+02,120.864,2.88E+01
132,3,-1.19E+02,-1.19E+02,286.901,-1.55E+02,337.077,3.87E+01
135,3,-1.20E+02,-1.20E+02,105.061,-1.44E+02,64.498,2.78E+01
138,3,-1.17E+02,-1.17E+02,260.383,-1.39E+02,267.431,4.00E+01
141,3,-1.17E+02,-1.17E+02,79.82,-1.45E+02,90.725,4.00E+01
144,3,-1.17E+02,-1.18E+02,277.799,-1.44E+02,259.663,3.64E+01
147,3,-1.17E+02,-1.17E+02,77.041,-1.41E+02,74.244,4.00E+01
150,3,-1.17E+02,-1.17E+02,249.617,-1.44E+02,248.035,4.00E+01
153,3,-1.16E+02,-1.16E+02,95.357,-1.43E+02,84.983,4.00E+01
156,3,-1.17E+02,-1.17E+02,251.497,-1.43E+02,247.478,4.00E+01
