#Parameters = {s=30; v=35}
#"Wavelength / nm"	"Total ACS [pw] [Real Part]"
#----------------------------------------------
400.00000000000	14487222.588250
405.00000000000	17231402.266042
406.00000000000	17728692.685521
407.00000000000	18186230.181807
408.00000000000	18597111.774118
409.00000000000	18956598.308549
410.00000000000	19261251.867668
411.00000000000	19508337.822639
412.00000000000	19694954.145081
413.00000000000	19818067.705533
414.00000000000	19874780.349496
415.00000000000	19862888.518624
416.00000000000	19781557.360540
417.00000000000	19631523.014610
418.00000000000	19415037.416156
419.00000000000	19135545.620965
420.00000000000	18797241.431560
425.00000000000	16408774.754912
430.00000000000	13536229.456477
435.00000000000	10948758.551399
440.00000000000	8848114.6095846
445.00000000000	7268044.6199650
450.00000000000	6034472.5597115
455.00000000000	5130234.9501456
460.00000000000	4397395.0350836
465.00000000000	3848845.0423624
470.00000000000	3407527.4828383
475.00000000000	3039580.0340451
480.00000000000	2780678.6211948
485.00000000000	2529076.8568991
490.00000000000	2362845.5976326
495.00000000000	2238215.7524829
500.00000000000	2113390.1353092
505.00000000000	2100234.2838295
510.00000000000	2096663.0530094
515.00000000000	2148798.1065478
520.00000000000	2393770.0005863
525.00000000000	2731429.6587610
530.00000000000	3342061.1137332
535.00000000000	4342830.9162106
536.00000000000	4537091.9546475
537.00000000000	4710258.5495030
538.00000000000	4854767.4689597
539.00000000000	4964522.9311957
540.00000000000	5035359.0883839
541.00000000000	5065293.6322006
542.00000000000	5054568.0596529
543.00000000000	5005505.4176971
544.00000000000	4922164.2423314
545.00000000000	4809905.8513531
546.00000000000	4674859.4453885
547.00000000000	4523418.8958041
548.00000000000	4361788.0977425
549.00000000000	4195620.1620512
550.00000000000	4029799.7940480
555.00000000000	3323054.6246286
560.00000000000	3032258.2647557
565.00000000000	3421908.9612862
570.00000000000	4340471.8369783
571.00000000000	4514414.2655686
572.00000000000	4663392.5610199
573.00000000000	4778835.9789546
574.00000000000	4853527.1216018
575.00000000000	4882118.3804051
576.00000000000	4861493.2599925
577.00000000000	4790993.6347645
578.00000000000	4672378.4290599
579.00000000000	4509757.4996665
580.00000000000	4309289.4674112
581.00000000000	4078744.5141056
582.00000000000	3826946.9976765
583.00000000000	3563250.4503218
584.00000000000	3296940.8039938
585.00000000000	3036626.5108372
590.00000000000	2031874.6950794
595.00000000000	1610016.5997773
600.00000000000	1395565.9376350
#Parameters = {s=30; v=35}
#"Wavelength / nm"	"Total RCS [pw] [Real Part]"
#----------------------------------------------
400.00000000000	39962953.469246
405.00000000000	36445585.332767
406.00000000000	35603883.414985
407.00000000000	34757853.659051
408.00000000000	33928184.735705
409.00000000000	33133150.253706
410.00000000000	32387659.672161
411.00000000000	31703352.794091
412.00000000000	31089192.144401
413.00000000000	30552261.941125
414.00000000000	30098186.880095
415.00000000000	29731074.916478
416.00000000000	29453207.747191
417.00000000000	29264715.056117
418.00000000000	29163510.085818
419.00000000000	29145824.714330
420.00000000000	29206941.196266
425.00000000000	30543645.899826
430.00000000000	33174613.310520
435.00000000000	36325162.385771
440.00000000000	39567328.964070
445.00000000000	42600067.581028
450.00000000000	45430681.547767
455.00000000000	47976094.722302
460.00000000000	50320860.974238
465.00000000000	52455545.895953
470.00000000000	54388901.200389
475.00000000000	56213269.864983
480.00000000000	57822803.759986
485.00000000000	59366015.011553
490.00000000000	60757013.533749
495.00000000000	61999477.595172
500.00000000000	63210029.427249
505.00000000000	64203344.706310
510.00000000000	65098567.920224
515.00000000000	65888531.795509
520.00000000000	66309942.894575
525.00000000000	66484654.244295
530.00000000000	66150585.711806
535.00000000000	64947572.439173
536.00000000000	64673159.002643
537.00000000000	64420071.042898
538.00000000000	64202947.369522
539.00000000000	64034627.689357
540.00000000000	63925154.405461
541.00000000000	63881070.190757
542.00000000000	63905078.476478
543.00000000000	63996070.414933
544.00000000000	64149531.416205
545.00000000000	64358091.816012
546.00000000000	64612520.823748
547.00000000000	64902533.755710
548.00000000000	65217670.640306
549.00000000000	65548036.973865
550.00000000000	65884802.781816
555.00000000000	67444508.065820
560.00000000000	68384408.261125
565.00000000000	68133332.464866
570.00000000000	66778236.780174
571.00000000000	66494453.454072
572.00000000000	66245470.438783
573.00000000000	66047771.011011
574.00000000000	65915538.317453
575.00000000000	65859873.008397
576.00000000000	65888150.140751
577.00000000000	66003541.017687
578.00000000000	66204545.080567
579.00000000000	66485430.419465
580.00000000000	66836704.575716
581.00000000000	67245725.700157
582.00000000000	67697402.009582
583.00000000000	68175559.488257
584.00000000000	68664042.058345
585.00000000000	69147143.827353
590.00000000000	71095649.489439
595.00000000000	72038025.241836
600.00000000000	72570881.755397
