#Parameters = {h=500}
#"Wavelength / nm"	"Total RCS [pw] (h=500) [Real Part]"
#------------------------------------------------------
400.00000000000	33299960.545399
401.00000000000	32725516.908475
402.00000000000	32146664.370226
403.00000000000	31503375.050568
404.00000000000	30809913.623986
405.00000000000	30149477.336563
406.00000000000	29613030.400580
407.00000000000	29230470.933204
408.00000000000	28949688.446862
409.00000000000	28680846.349863
410.00000000000	28370458.129845
411.00000000000	28044976.981063
412.00000000000	27789151.289368
413.00000000000	27677253.000686
414.00000000000	27713274.720722
415.00000000000	27828041.322526
416.00000000000	27934561.304533
417.00000000000	27996382.604824
418.00000000000	28054257.651107
419.00000000000	28191013.944428
420.00000000000	28463112.958462
421.00000000000	28853674.789839
422.00000000000	29283065.704182
423.00000000000	29667978.332181
424.00000000000	29982385.305247
425.00000000000	30273245.023229
426.00000000000	30619709.226248
427.00000000000	31067908.516509
428.00000000000	31590456.173632
429.00000000000	32101364.685103
430.00000000000	32515660.283243
435.00000000000	33996471.838857
440.00000000000	34969790.283072
445.00000000000	35992362.773440
450.00000000000	36138595.257978
455.00000000000	36618546.592407
460.00000000000	37232703.721384
465.00000000000	37407588.241413
470.00000000000	38513246.424651
475.00000000000	38886019.101989
480.00000000000	40182757.353052
485.00000000000	40928077.787553
490.00000000000	42285019.682113
495.00000000000	43282272.898235
500.00000000000	44686050.381195
505.00000000000	45705558.641163
510.00000000000	47130518.161353
515.00000000000	47928964.793559
520.00000000000	49230458.868563
525.00000000000	49502339.546472
526.00000000000	49648121.911463
527.00000000000	49825906.145150
528.00000000000	50002338.608534
529.00000000000	50139352.303184
530.00000000000	50204681.303138
531.00000000000	50182002.478516
532.00000000000	50075116.131429
533.00000000000	49906867.848234
534.00000000000	49713365.874714
535.00000000000	49533983.761919
536.00000000000	49401843.798991
537.00000000000	49336598.421257
538.00000000000	49340871.998803
539.00000000000	49402283.878673
540.00000000000	49499410.751288
541.00000000000	49609794.224394
542.00000000000	49717427.697095
543.00000000000	49818353.080563
544.00000000000	49921918.701075
545.00000000000	50047475.316192
546.00000000000	50218407.598868
547.00000000000	50454530.154827
548.00000000000	50765244.084814
549.00000000000	51145143.066171
550.00000000000	51573734.544370
551.00000000000	52019219.883702
552.00000000000	52445071.277246
553.00000000000	52818067.801621
554.00000000000	53115227.130622
555.00000000000	53328616.085060
556.00000000000	53466375.066684
560.00000000000	53744940.997146
564.00000000000	54192066.338180
565.00000000000	54216688.401038
566.00000000000	54150832.837784
567.00000000000	53982138.028561
568.00000000000	53714958.658754
569.00000000000	53370821.887270
570.00000000000	52985416.876842
571.00000000000	52602828.279624
572.00000000000	52268378.253333
573.00000000000	52021353.178242
574.00000000000	51888997.472803
575.00000000000	51883185.235874
576.00000000000	51999776.763346
577.00000000000	52220895.098642
578.00000000000	52519337.477548
579.00000000000	52864105.522574
580.00000000000	53225894.547395
581.00000000000	53581493.405657
582.00000000000	53916371.530525
583.00000000000	54225150.037464
584.00000000000	54510113.574120
585.00000000000	54778329.470669
586.00000000000	55038136.148003
590.00000000000	56049356.886720
595.00000000000	56714538.635972
600.00000000000	56546359.042915
#Parameters = {h=1000}
#"Wavelength / nm"	"Total RCS [pw] (h=1000) [Real Part]"
#-------------------------------------------------------
400.00000000000	33615204.221823
401.00000000000	32964317.871414
402.00000000000	32409805.434377
403.00000000000	31854695.508667
404.00000000000	31226938.169541
405.00000000000	30549852.063415
406.00000000000	29927786.977957
407.00000000000	29459470.757117
408.00000000000	29155740.925063
409.00000000000	28933437.654751
410.00000000000	28689739.283660
411.00000000000	28391178.593302
412.00000000000	28101236.231855
413.00000000000	27924777.280346
414.00000000000	27918727.785585
415.00000000000	28044736.182564
416.00000000000	28201835.742283
417.00000000000	28309522.675773
418.00000000000	28371558.021069
419.00000000000	28469541.638402
420.00000000000	28693307.194313
421.00000000000	29066128.768003
422.00000000000	29523839.289032
423.00000000000	29962761.970045
424.00000000000	30317045.580882
425.00000000000	30604733.763270
426.00000000000	30908390.505922
427.00000000000	31307137.256130
428.00000000000	31811723.274477
429.00000000000	32351881.925116
430.00000000000	32824487.937732
435.00000000000	34211462.154624
440.00000000000	35295428.859647
445.00000000000	36216541.087837
450.00000000000	36247361.858253
455.00000000000	36799167.359977
460.00000000000	37205219.518155
465.00000000000	37412217.866400
470.00000000000	38426276.488165
475.00000000000	38715247.604419
480.00000000000	40037970.815117
485.00000000000	40648301.436995
490.00000000000	42083710.123466
495.00000000000	42951312.994228
500.00000000000	44449755.661396
505.00000000000	45362203.555317
510.00000000000	46884850.168330
515.00000000000	47603792.564955
520.00000000000	48993024.109525
525.00000000000	49225324.847971
526.00000000000	49363098.863656
527.00000000000	49544793.266951
528.00000000000	49736721.521992
529.00000000000	49896990.717141
530.00000000000	49987398.785083
531.00000000000	49985481.747560
532.00000000000	49890560.162452
533.00000000000	49723898.712246
534.00000000000	49523200.731571
535.00000000000	49331943.477537
536.00000000000	49188469.107067
537.00000000000	49117164.026774
538.00000000000	49123510.489274
539.00000000000	49195383.195693
540.00000000000	49309058.184564
541.00000000000	49438017.407630
542.00000000000	49561693.277089
543.00000000000	49672376.156736
544.00000000000	49777495.380927
545.00000000000	49896794.751305
546.00000000000	50056153.227992
547.00000000000	50279236.450005
548.00000000000	50579558.740599
549.00000000000	50954998.150558
550.00000000000	51386697.662565
551.00000000000	51842494.681493
552.00000000000	52283680.175472
553.00000000000	52673685.753740
554.00000000000	52985925.708605
555.00000000000	53209524.878100
556.00000000000	53351073.698906
560.00000000000	53604516.458024
564.00000000000	54077480.992595
565.00000000000	54120026.204784
566.00000000000	54072031.740825
567.00000000000	53918329.499876
568.00000000000	53661179.755351
569.00000000000	53321146.331086
570.00000000000	52934238.291618
571.00000000000	52545990.009394
572.00000000000	52203925.507470
573.00000000000	51949774.439608
574.00000000000	51812904.714011
575.00000000000	51806587.410676
576.00000000000	51927082.550235
577.00000000000	52155912.080809
578.00000000000	52464460.717467
579.00000000000	52819862.309787
580.00000000000	53190923.391088
581.00000000000	53552933.818148
582.00000000000	53890546.708391
583.00000000000	54198389.864613
584.00000000000	54479542.761332
585.00000000000	54742438.891449
586.00000000000	54997061.776721
590.00000000000	56013190.313438
595.00000000000	56722544.694086
600.00000000000	56552375.767404
#Parameters = {h=1230}
#"Wavelength / nm"	"Total RCS [pw] (h=1230) [Real Part]"
#-------------------------------------------------------
400.00000000000	33772325.888820
401.00000000000	33098938.999217
402.00000000000	32508103.845430
403.00000000000	31931053.832496
404.00000000000	31309029.759925
405.00000000000	30652560.835389
406.00000000000	30040709.791090
407.00000000000	29558236.973727
408.00000000000	29225045.555671
409.00000000000	28980385.872501
410.00000000000	28736563.403060
411.00000000000	28455502.211680
412.00000000000	28181941.845084
413.00000000000	28005060.058426
414.00000000000	27982140.402293
415.00000000000	28089550.579658
416.00000000000	28241875.170930
417.00000000000	28361977.159248
418.00000000000	28442969.320778
419.00000000000	28551564.461523
420.00000000000	28770941.200305
421.00000000000	29130783.778579
422.00000000000	29580385.308022
423.00000000000	30025348.858029
424.00000000000	30397657.592756
425.00000000000	30703925.571365
426.00000000000	31015282.005080
427.00000000000	31408238.936670
428.00000000000	31901422.214406
429.00000000000	32436537.548460
430.00000000000	32917346.115537
435.00000000000	34323772.141252
440.00000000000	35434739.631113
445.00000000000	36314173.331945
450.00000000000	36333625.798659
455.00000000000	36882254.024718
460.00000000000	37235814.539618
465.00000000000	37445302.041697
470.00000000000	38428201.396451
475.00000000000	38693531.938097
480.00000000000	40015193.521075
485.00000000000	40588344.366580
490.00000000000	42035731.653351
495.00000000000	42870750.017739
500.00000000000	44385695.333191
505.00000000000	45275831.017115
510.00000000000	46816838.405312
515.00000000000	47523340.065416
520.00000000000	48931577.277712
525.00000000000	49159539.477005
526.00000000000	49298110.704428
527.00000000000	49482583.273391
528.00000000000	49678808.946810
529.00000000000	49843990.897130
530.00000000000	49938893.958106
531.00000000000	49940225.796878
532.00000000000	49846909.578489
533.00000000000	49680341.403492
534.00000000000	49478797.926184
535.00000000000	49286564.591469
536.00000000000	49142767.059859
537.00000000000	49072310.458285
538.00000000000	49080796.883504
539.00000000000	49155819.989079
540.00000000000	49273076.152008
541.00000000000	49405367.187859
542.00000000000	49531533.719207
543.00000000000	49643530.019380
544.00000000000	49748792.795979
545.00000000000	49867370.090011
546.00000000000	50025655.758722
547.00000000000	50247881.040857
548.00000000000	50548037.520727
549.00000000000	50924275.300629
550.00000000000	51357756.265656
551.00000000000	51816116.062101
552.00000000000	52260286.306067
553.00000000000	52653297.066201
554.00000000000	52968217.335498
555.00000000000	53193960.344931
556.00000000000	53337065.662145
560.00000000000	53594309.651011
564.00000000000	54075713.944341
565.00000000000	54121038.318415
566.00000000000	54075746.171249
567.00000000000	53924500.467930
568.00000000000	53669435.227030
569.00000000000	53331051.235105
570.00000000000	52945350.889343
571.00000000000	52557918.631230
572.00000000000	52216375.118084
573.00000000000	51962560.505520
574.00000000000	51825972.211800
575.00000000000	51819994.058210
576.00000000000	51940980.875752
577.00000000000	52170511.336144
578.00000000000	52479992.151067
579.00000000000	52836540.955747
580.00000000000	53208911.496919
581.00000000000	53572323.852412
582.00000000000	53911350.979529
583.00000000000	54220550.973901
584.00000000000	54502956.506545
