#
#"Frequency / PHz"	"Eps'' (Fit) [Real]"
#--------------------------------------
0.35269701480865	0.00047530635492876
0.35320135951042	0.00047647650353611
0.35370573401451	0.00047765069757588
0.35421007871628	0.00047882896615192
0.35471445322037	0.00048001136747189
0.35521879792213	0.00048119793063961
0.35572314262390	0.00048238865565509
0.35587233304977	0.00048274165601470
0.35622751712799	0.00048358362982981
0.35673186182976	0.00048478282405995
0.35723623633385	0.00048598632565700
0.35774058103561	0.00048719416372478
0.35824492573738	0.00048840633826330
0.35874930024147	0.00048962287837639
0.35907623171806	0.00049041386228055
0.35925364494324	0.00049084390047938
0.35975801944733	0.00049206934636459
0.36026236414909	0.00049329933244735
0.36076673865318	0.00049453385872766
0.36127108335495	0.00049577292520553
0.36177542805672	0.00049701659008861
0.36227980256081	0.00049826491158456
0.36230894923210	0.00049833726370707
0.36278414726257	0.00049951794790104
0.36328852176666	0.00050077569903806
0.36379286646843	0.00050203822320327
0.36429721117020	0.00050330557860434
0.36480158567429	0.00050457776524127
0.36530593037605	0.00050585484132171
0.36557081341743	0.00050652743084356
0.36581030488014	0.00050713680684566
0.36631464958191	0.00050842377822846
0.36681902408600	0.00050971575547010
0.36732336878777	0.00051101279677823
0.36782771348953	0.00051231496036053
0.36833208799362	0.00051362224621698
0.36883643269539	0.00051493477076292
0.36886203289032	0.00051500147674233
0.36934080719948	0.00051625247579068
0.36984515190125	0.00051757547771558
0.37034952640533	0.00051890377653763
0.37085387110710	0.00052023748867214
0.37135821580887	0.00052157661411911
0.37186259031296	0.00052292121108621
0.37218287587166	0.00052377791143954
0.37236693501472	0.00052427133778110
0.37287130951881	0.00052562699420378
0.37337565422058	0.00052698829676956
0.37387999892235	0.00052835524547845
0.37438437342644	0.00052972795674577
0.37488871812820	0.00053110637236387
0.37539309263229	0.00053249066695571
0.37553361058235	0.00053287739865482
0.37589743733406	0.00053388084052131
0.37640181183815	0.00053527689306065
0.37690615653992	0.00053667899919674
0.37741050124168	0.00053808710072190
0.37791487574577	0.00053950125584379
0.37841922044754	0.00054092163918540
0.37891450524330	0.00054232246475294
0.37892359495163	0.00054234819253907
0.37942793965340	0.00054378103232011
0.37993231415749	0.00054522021673620
0.38043665885925	0.00054666574578732
0.38094100356102	0.00054811773588881
0.38144537806511	0.00054957624524832
0.38194972276688	0.00055104127386585
0.38232585787773	0.00055213819723576
0.38245409727097	0.00055251299636438
0.38295844197273	0.00055399141274393
0.38346278667450	0.00055547658121213
0.38396716117859	0.00055696855997667
0.38447150588036	0.00055846746545285
0.38497588038445	0.00055997329764068
0.38548022508621	0.00056148623116314
0.38576790690422	0.00056235236115754
0.38598459959030	0.00056300620781258
0.38648894429207	0.00056453334400430
0.38699328899384	0.00056606775615364
0.38749766349792	0.00056760950246826
0.38800200819969	0.00056915858294815
0.38850638270378	0.00057071517221630
0.38901072740555	0.00057227927027270
0.38924098014832	0.00057299586478621
0.38951510190964	0.00057385105174035
0.39001944661140	0.00057543045841157
0.39052379131317	0.00057701766490936
0.39102816581726	0.00057861272944137
0.39153251051903	0.00058021571021527
0.39203688502312	0.00058182672364637
0.39254122972488	0.00058344588615000
0.39274528622627	0.00058410322526470
0.39304557442665	0.00058507319772616
0.39354994893074	0.00058670877479017
0.39405429363251	0.00058835273375735
0.39455866813660	0.00059000513283536
0.39506301283836	0.00059166608843952
0.39556738734245	0.00059333565877751
0.39607173204422	0.00059501401847228
0.39628115296364	0.00059571344172582
0.39657607674599	0.00059670116752386
0.39708045125008	0.00059839722234756
0.39758479595184	0.00060010229935870
0.39808917045593	0.00060181651497260
0.39859351515770	0.00060353992739692
0.39909785985947	0.00060527271125466
0.39960223436356	0.00060701492475346
0.39984884858131	0.00060787022812292
0.40010657906532	0.00060876662610099
0.40061095356941	0.00061052798992023
0.40111529827118	0.00061229913262650
0.40161967277527	0.00061408011242747
0.40212401747704	0.00061587104573846
0.40262836217880	0.00061767210718244
0.40313273668289	0.00061948341317475
0.40344867110252	0.00062062323559076
0.40363708138466	0.00062130502192304
0.40414145588875	0.00062313710805029
0.40464580059052	0.00062497972976416
0.40515017509460	0.00062683306168765
0.40565451979637	0.00062869722023606
0.40615886449814	0.00063057238003239
0.40666323900223	0.00063245859928429
0.40708088874817	0.00063402904197574
0.40716758370399	0.00063435605261475
0.40767195820808	0.00063626491464674
0.40817630290985	0.00063818524358794
0.40868064761162	0.00064011721406132
0.40918502211571	0.00064206100068986
0.40968936681747	0.00064401671988890
0.41019374132156	0.00064598454628140
0.41069808602333	0.00064796459628269
0.41074579954147	0.00064815254881978
0.41120246052742	0.00064995704451576
0.41170680522919	0.00065196200739592
0.41221114993095	0.00065397977596149
0.41271552443504	0.00065601035021245
0.41321986913681	0.00065805402118713
0.41372424364090	0.00066011090530083
0.41422858834267	0.00066218117717654
0.41444373130798	0.00066306843655184
0.41473296284676	0.00066426506964490
0.41523730754852	0.00066636264091358
0.41574165225029	0.00066847418202087
0.41624602675438	0.00067059986758977
0.41675037145615	0.00067273987224326
0.41725474596024	0.00067489437060431
0.41775909066200	0.00067706359550357
0.41817495226860	0.00067886337637901
0.41826343536377	0.00067924772156402
0.41876780986786	0.00068144703982398
0.41927215456963	0.00068366160849109
0.41977652907372	0.00068589177681133
0.42028087377548	0.00068813771940768
0.42078524827957	0.00069039961090311
0.42128959298134	0.00069267780054361
0.42179393768311	0.00069497240474448
0.42193976044655	0.00069563882425427
0.42229831218719	0.00069728371454403
0.42280265688896	0.00069961202098057
0.42330703139305	0.00070195749867707
0.42381137609482	0.00070432038046420
