#Parameters = {h=500}
#"Wavelength / nm"	"Eps' (Fit) (h=500) [Real Part]"
#--------------------------------------------------
400.00000183208	2.0002598762512
400.24038401921	2.0002279281616
400.48105529805	2.0002026557922
400.72201619042	2.0001842975616
400.96326721940	2.0001733303070
401.20480890933	2.0001702308655
401.44664178580	2.0001754760742
401.68876637569	2.0001893043518
401.93121532621	2.0002124309540
402.17392496744	2.0002450942993
402.41692791042	2.0002877712250
402.66022468712	2.0003409385681
402.90381583082	2.0004053115845
403.14770187607	2.0004811286926
403.39188335873	2.0005691051483
403.63636081596	2.0006697177887
403.71936660680	2.0007069110870
403.88113478620	2.0007836818695
404.12620580922	2.0009112358093
404.37157442610	2.0010533332825
404.61724117922	2.0012099742889
404.86320661230	2.0013823509216
405.10950389940	2.0015704631805
405.35606836853	2.0017752647400
405.60293315677	2.0019972324371
405.85009881313	2.0022368431091
406.09756588799	2.0024945735931
406.34533493304	2.0027711391449
406.59340650134	2.0030667781830
406.84178114729	2.0033822059631
407.09045942666	2.0037176609039
407.33944189657	2.0040736198425
407.47332323769	2.0042734146118
407.58872911549	2.0044505596161
407.83832164328	2.0048487186432
408.08822004116	2.0052685737610
408.33845802300	2.0057101249695
408.58896989094	2.0061738491058
408.83978932099	2.0066595077515
409.09091687992	2.0071673393250
409.34235313587	2.0076973438263
409.59409865838	2.0082492828369
409.84615401840	2.0088233947754
410.09851978829	2.0094189643860
410.35119654181	2.0100359916687
410.60418485414	2.0106737613678
410.85748530189	2.0113320350647
411.11109846306	2.0120100975037
411.26219937735	2.0124228000641
411.36502491712	2.0127072334290
411.61929893105	2.0134227275848
411.87385375664	2.0141556262970
412.12872362215	2.0149049758911
412.38390911280	2.0156698226929
412.63941081524	2.0164487361908
412.89522931758	2.0172407627106
413.15136520940	2.0180442333221
413.40781908174	2.0188584327698
413.66459152708	2.0196812152863
413.92168313942	2.0205116271973
414.17909451421	2.0213477611542
414.43682624839	2.0221884250641
414.69487894037	2.0230317115784
414.95328742409	2.0238761901855
415.08626069745	2.0243103504181
415.21198387563	2.0247199535370
415.47100308929	2.0255618095398
415.73034566951	2.0264000892639
415.99001222219	2.0272328853607
416.25000335478	2.0280587673187
416.51031967625	2.0288765430450
416.77096179709	2.0296845436096
417.03193032930	2.0304813385010
417.29322588643	2.0312654972076
417.55484908358	2.0320360660553
417.81680053738	2.0327918529510
418.07908086599	2.0335314273834
418.34172548456	2.0342540740967
418.60466546733	2.0349590778351
418.86793618889	2.0356450080872
418.94591417322	2.0358445644379
419.13153827366	2.0363116264343
419.39547234762	2.0369582176208
419.65973903836	2.0375843048096
