#
#"Frequency / PHz"	"Eps' (Fit) [Real]"
#-------------------------------------
0.35269701480865	2.0276582241058
0.35320135951042	2.0276648998260
0.35370573401451	2.0276715755463
0.35421007871628	2.0276782512665
0.35471445322037	2.0276849269867
0.35521879792213	2.0276916027069
0.35572314262390	2.0276985168457
0.35587233304977	2.0277004241943
0.35622751712799	2.0277054309845
0.35673186182976	2.0277121067047
0.35723623633385	2.0277190208435
0.35774058103561	2.0277259349823
0.35824492573738	2.0277328491211
0.35874930024147	2.0277397632599
0.35907623171806	2.0277442932129
0.35925364494324	2.0277466773987
0.35975801944733	2.0277538299561
0.36026236414909	2.0277607440948
0.36076673865318	2.0277678966522
0.36127108335495	2.0277750492096
0.36177542805672	2.0277819633484
0.36227980256081	2.0277891159058
0.36230894923210	2.0277895927429
0.36278414726257	2.0277962684631
0.36328852176666	2.0278036594391
0.36379286646843	2.0278108119965
0.36429721117020	2.0278179645538
0.36480158567429	2.0278253555298
0.36530593037605	2.0278327465057
0.36557081341743	2.0278365612030
0.36581030488014	2.0278398990631
0.36631464958191	2.0278472900391
0.36681902408600	2.0278546810150
0.36732336878777	2.0278620719910
0.36782771348953	2.0278697013855
0.36833208799362	2.0278770923615
0.36883643269539	2.0278847217560
0.36886203289032	2.0278849601746
0.36934080719948	2.0278921127319
0.36984515190125	2.0278997421265
0.37034952640533	2.0279073715210
0.37085387110710	2.0279150009155
0.37135821580887	2.0279226303101
0.37186259031296	2.0279304981232
0.37218287587166	2.0279352664948
0.37236693501472	2.0279381275177
0.37287130951881	2.0279459953308
0.37337565422058	2.0279536247253
0.37387999892235	2.0279614925385
0.37438437342644	2.0279693603516
0.37488871812820	2.0279772281647
0.37539309263229	2.0279850959778
0.37553361058235	2.0279874801636
0.37589743733406	2.0279932022095
0.37640181183815	2.0280010700226
0.37690615653992	2.0280091762543
0.37741050124168	2.0280172824860
0.37791487574577	2.0280253887177
0.37841922044754	2.0280334949493
0.37891450524330	2.0280413627625
0.37892359495163	2.0280416011810
0.37942793965340	2.0280497074127
0.37993231415749	2.0280580520630
0.38043665885925	2.0280663967133
0.38094100356102	2.0280745029449
0.38144537806511	2.0280828475952
0.38194972276688	2.0280911922455
0.38232585787773	2.0280976295471
0.38245409727097	2.0280997753143
0.38295844197273	2.0281081199646
0.38346278667450	2.0281167030334
0.38396716117859	2.0281250476837
0.38447150588036	2.0281336307526
0.38497588038445	2.0281422138214
0.38548022508621	2.0281507968903
0.38576790690422	2.0281558036804
0.38598459959030	2.0281596183777
0.38648894429207	2.0281682014465
0.38699328899384	2.0281770229340
0.38749766349792	2.0281858444214
0.38800200819969	2.0281946659088
0.38850638270378	2.0282034873962
0.38901072740555	2.0282123088837
0.38924098014832	2.0282163619995
0.38951510190964	2.0282211303711
0.39001944661140	2.0282301902771
0.39052379131317	2.0282392501831
0.39102816581726	2.0282483100891
0.39153251051903	2.0282573699951
0.39203688502312	2.0282664299011
0.39254122972488	2.0282757282257
0.39274528622627	2.0282793045044
0.39304557442665	2.0282847881317
0.39354994893074	2.0282940864563
0.39405429363251	2.0283033847809
0.39455866813660	2.0283126831055
0.39506301283836	2.0283222198486
0.39556738734245	2.0283315181732
0.39607173204422	2.0283410549164
0.39628115296364	2.0283451080322
0.39657607674599	2.0283505916595
0.39708045125008	2.0283601284027
0.39758479595184	2.0283696651459
0.39808917045593	2.0283794403076
0.39859351515770	2.0283892154694
0.39909785985947	2.0283987522125
0.39960223436356	2.0284085273743
0.39984884858131	2.0284135341644
0.40010657906532	2.0284185409546
0.40061095356941	2.0284283161163
0.40111529827118	2.0284383296967
0.40161967277527	2.0284483432770
0.40212401747704	2.0284583568573
0.40262836217880	2.0284683704376
0.40313273668289	2.0284783840179
0.40344867110252	2.0284848213196
0.40363708138466	2.0284886360168
0.40414145588875	2.0284988880157
0.40464580059052	2.0285091400146
0.40515017509460	2.0285193920135
0.40565451979637	2.0285298824310
0.40615886449814	2.0285401344299
0.40666323900223	2.0285506248474
0.40708088874817	2.0285594463348
0.40716758370399	2.0285611152649
0.40767195820808	2.0285718441010
0.40817630290985	2.0285823345184
0.40868064761162	2.0285930633545
0.40918502211571	2.0286037921906
0.40968936681747	2.0286145210266
0.41019374132156	2.0286254882812
0.41069808602333	2.0286362171173
0.41074579954147	2.0286374092102
0.41120246052742	2.0286471843719
0.41170680522919	2.0286583900452
0.41221114993095	2.0286693572998
0.41271552443504	2.0286805629730
0.41321986913681	2.0286917686462
0.41372424364090	2.0287029743195
0.41422858834267	2.0287141799927
0.41444373130798	2.0287189483643
0.41473296284676	2.0287256240845
0.41523730754852	2.0287370681763
0.41574165225029	2.0287485122681
0.41624602675438	2.0287599563599
0.41675037145615	2.0287716388702
0.41725474596024	2.0287833213806
0.41775909066200	2.0287950038910
0.41817495226860	2.0288047790527
0.41826343536377	2.0288066864014
0.41876780986786	2.0288186073303
0.41927215456963	2.0288305282593
0.41977652907372	2.0288424491882
0.42028087377548	2.0288546085358
0.42078524827957	2.0288667678833
0.42128959298134	2.0288789272308
0.42179393768311	2.0288910865784
0.42193976044655	2.0288946628571
0.42229831218719	2.0289034843445
0.42280265688896	2.0289158821106
0.42330703139305	2.0289282798767
0.42381137609482	2.0289409160614
0.42431575059891	2.0289535522461
0.42482009530067	2.0289661884308
0.42532444000244	2.0289788246155
0.42573845386505	2.0289893150330
0.42582881450653	2.0289916992188
0.42633315920830	2.0290045738220
0.42683753371239	2.0290176868439
0.42734187841415	2.0290305614471
0.42784622311592	2.0290436744690
0.42835059762001	2.0290570259094
