#Parameters = {h=500}
#"Wavelength / nm"	"Eps'' (Fit) (h=500) [Real Part]"
#---------------------------------------------------
400.00000183208	0.024994416162372
400.24038401921	0.025386525318027
400.48105529805	0.025786340236664
400.72201619042	0.026193885132670
400.96326721940	0.026609174907207
401.20480890933	0.027032203972340
401.44664178580	0.027462961152196
401.68876637569	0.027901407331228
401.93121532621	0.028347495943308
402.17392496744	0.028801154345274
402.41692791042	0.029262291267514
402.66022468712	0.029730791226029
402.90381583082	0.030206516385078
403.14770187607	0.030689300969243
403.39188335873	0.031178951263428
403.63636081596	0.031675249338150
403.71936660680	0.031845081597567
403.88113478620	0.032177932560444
404.12620580922	0.032686725258827
404.37157442610	0.033201295882463
404.61724117922	0.033721286803484
404.86320661230	0.034246303141117
405.10950389940	0.034775905311108
405.35606836853	0.035309612751007
405.60293315677	0.035846900194883
405.85009881313	0.036387197673321
406.09756588799	0.036929897964001
406.34533493304	0.037474330514669
406.59340650134	0.038019787520170
406.84178114729	0.038565512746572
407.09045942666	0.039110697805882
407.33944189657	0.039654489606619
407.47332323769	0.039945714175701
407.58872911549	0.040195979177952
407.83832164328	0.040734224021435
408.08822004116	0.041268218308687
408.33845802300	0.041796930134296
408.58896989094	0.042319275438786
408.83978932099	0.042834132909775
409.09091687992	0.043340347707272
409.34235313587	0.043836735188961
409.59409865838	0.044322080910206
409.84615401840	0.044795151799917
410.09851978829	0.045254699885845
410.35119654181	0.045699466019869
410.60418485414	0.046128187328577
410.85748530189	0.046539608389139
411.11109846306	0.046932484954596
411.26219937735	0.047156982123852
411.36502491712	0.047305595129728
411.61929893105	0.047657743096352
411.87385375664	0.047987774014473
412.12872362215	0.048294574022293
412.38390911280	0.048577085137367
412.63941081524	0.048834312707186
412.89522931758	0.049065336585045
413.15136520940	0.049269307404757
413.40781908174	0.049445465207100
413.66459152708	0.049593146890402
413.92168313942	0.049711778759956
414.17909451421	0.049800898879766
414.43682624839	0.049860149621964
414.69487894037	0.049889281392097
414.95328742409	0.049888163805008
415.08626069745	0.049875795841217
415.21198387563	0.049856774508953
415.47100308929	0.049795214086771
415.73034566951	0.049703687429428
415.99001222219	0.049582522362471
416.25000335478	0.049432139843702
416.51031967625	0.049253083765507
416.77096179709	0.049045983701944
417.03193032930	0.048811566084623
417.29322588643	0.048550654202700
417.55484908358	0.048264138400555
417.81680053738	0.047952987253666
418.07908086599	0.047618236392736
418.34172548456	0.047260981053114
418.60466546733	0.046882349997759
418.86793618889	0.046483531594276
418.94591417322	0.046361770480871
419.13153827366	0.046065725386143
419.39547234762	0.045630171895027
419.65973903836	0.045178111642599
419.92433897503	0.044710800051689
420.18927278837	0.044229492545128
420.45454111071	0.043735433369875
420.72014457600	0.043229851871729
420.98608381976	0.042713966220617
421.25235947914	0.042188961058855
421.51897219290	0.041655998677015
421.78595797212	0.041116196662188
422.05324676223	0.040570650249720
422.32087453281	0.040020406246185
422.58884192911	0.039466463029385
422.84147237111	0.038942351937294
422.85714959804	0.038909785449505
423.12579818814	0.038351282477379
423.39478834961	0.037791822105646
423.66412073428	0.037232223898172
423.93379599567	0.036673258990049
424.20381478894	0.036115642637014
424.47417777095	0.035560052841902
424.74488560020	0.035007119178772
425.01593893690	0.034457415342331
425.28733844293	0.033911481499672
425.55912078823	0.033369813114405
425.83121467141	0.032832853496075
426.10365671983	0.032301016151905
426.37644760219	0.031774673610926
426.64958798887	0.031254157423973
426.77321648770	0.031020753085613
426.92307855200	0.030739761888981
427.19691996542	0.030231757089496
427.47111290470	0.029730373993516
427.74565804714	0.029235815629363
428.02055607180	0.028748253360391
428.29580765946	0.028267839923501
428.57141349268	0.027794696390629
428.84737425576	0.027328923344612
429.12372724685	0.026870599016547
429.40039997686	0.026419783011079
429.67742970033	0.025976516306400
429.95481710868	0.025540821254253
430.23256289507	0.025112705305219
430.51066775447	0.024692164734006
430.74154075063	0.024349184706807
430.78913238368	0.024279177188873
431.06795748124	0.023873714730144
431.34714374756	0.023475732654333
431.62669188483	0.023085180670023
431.90660259708	0.022701997309923
432.18687659014	0.022326113656163
432.46751457171	0.021957453340292
432.74855448454	0.021595938131213
433.02992262197	0.021241478621960
433.31165688210	0.020893981680274
433.59375798002	0.020553352311254
433.87622663267	0.020219489932060
434.15906355885	0.019892292097211
434.44226947924	0.019571652635932
