#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.3747405725000000,137853.1928012100000000
0.3997232773333300,198554.1537171000000000
0.4282749400000000,304709.0236170400000000
0.4612191661538500,552550.0748773100000000
0.4996540966666700,1465899.5628560000000000
0.5450771963636400,4282721.7684952000000000
0.5995849160000000,1825537.4895595000000000
0.6662054622222200,5941185.5385495000000000
0.7494811450000000,14559061.5811220000000000
#,
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.3747405725000000,66880819.2960530000000000
0.3997232773333300,70575051.6104450000000000
0.4282749400000000,73544196.4316430000000000
0.4612191661538500,74949269.7340930000000000
0.4996540966666700,72829213.9329330000000000
0.5450771963636400,65230994.7172030000000000
0.5995849160000000,60780661.2146280000000000
0.6662054622222200,41267286.6415400000000000
0.7494811450000000,38038738.5112140000000000
