#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.37474057250000000,138770.75494917000000000
0.39972327733333000,191915.73605719000000000
0.42827494000000000,299963.68347846000000000
0.46121916615385000,553597.98946744000000000
0.49965409666667000,1470759.27433060000000000
0.54507719636364000,4282022.37132010000000000
0.59958491600000000,1821536.04941220000000000
0.66620546222222000,5954407.28239510000000000
0.74948114500000000,14588457.36570500000000000
#,
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.37474057250000000,66646919.19966400000000000
0.39972327733333000,70341497.91340500000000000
0.42827494000000000,73320250.72996000000000000
0.46121916615385000,74765528.15296000000000000
0.49965409666667000,72752764.37788000000000000
0.54507719636364000,65298264.45374100000000000
0.59958491600000000,61152652.50000100000000000
0.66620546222222000,41742392.81553600000000000
0.74948114500000000,38455229.76264300000000000
