#
#"Frequency / PHz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.66620546222222	5935599.7805645
0.68134649545455	9207995.3573821
0.69719176279070	14349450.173092
0.71379156666667	19117585.794929
0.73120111707317	19054640.417507
0.74948114500000	14569938.784619
#
#"Frequency / PHz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.66620546222222	42103027.209032
0.68134649545455	36435875.434911
0.69719176279070	31117209.319351
0.71379156666667	28940263.425023
0.73120111707317	32631080.804954
0.74948114500000	38746805.881731
