#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.599584916,1814969.134
0.611821343,1971604.008
0.624567621,2317694.61
0.637856294,2957642.849
0.651722735,4056020.696
0.666205462,5935599.781
0.681346495,9207995.357
0.697191763,14349450.17
0.713791567,19117585.79
0.731201117,19054640.42
0.749481145,14569938.78
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.599584916,61415937.25
0.611821343,58663007.24
0.624567621,55426548.41
0.637856294,51608803.15
0.651722735,47191611.16
0.666205462,42103027.21
0.681346495,36435875.43
0.697191763,31117209.32
0.713791567,28940263.43
0.731201117,32631080.8
0.749481145,38746805.88
