#,
"#""Frequency / PHz""",Total ACS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,137853.1928
0.379484124,142868.9991
0.384349305,155544.5615
0.389340855,171480.9618
0.394463761,186030.498
0.399723277,198554.1537
0.405124943,210633.8035
0.4106746,227506.7848
0.416378414,252536.2372
0.422242899,279893.8999
0.42827494,304709.0236
"#""Frequency / PHz""",Total RCS [pw] [Magnitude / nm^2]
#-----------------------------------------------------,
0.374740573,66880819.3
0.379484124,67661847.99
0.384349305,68420703.41
0.389340855,69156054.63
0.394463761,69873570.45
0.399723277,70575051.61
0.405124943,71252790.19
0.4106746,71893715.51
0.416378414,72487973.85
0.422242899,73036794.64
0.42827494,73544196.43
