#
#"Frequency / PHz"	"Total ACS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	299875.82838676
0.37948412405063	292098.09135645
0.38434930512820	340060.41701595
0.38934085454545	303446.28636104
0.39446376052632	363357.21476555
0.39972327733333	338688.84309455
0.66620546222222	6395923.4760699
0.68134649545455	9841797.9507403
0.69719176279070	14682203.571064
0.71379156666667	19845378.190504
0.73120111707317	20256797.512318
0.74948114500000	15082622.571445
#
#"Frequency / PHz"	"Total RCS [pw] [Magnitude / nm^2]"
#-----------------------------------------------------
0.37474057250000	37160947.333746
0.37948412405063	37368247.077271
0.38434930512820	37883773.309192
0.38934085454545	38124869.613486
0.39446376052632	39021578.150496
0.39972327733333	39590812.979096
0.66620546222222	37396871.024578
0.68134649545455	36970288.114477
0.69719176279070	34441308.345241
0.71379156666667	29391149.553460
0.73120111707317	28559310.395219
0.74948114500000	34652962.044491
